aajo	हास्यास्पद	hospitality
aala	सीमा	border
aanu	दया	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	आरे	president
aawe	पक्षाघात	fasting
abala	भाग	division
abeikojopo	उत्तराधिकारिणी	subset
abeorile	घर वापसी	nation
abesahara	छींटे डालना	under the sahara
abidi	वर्णमाला	abidi
abidjan	कभी	abidjan
abo	संज्ञा	security
aburunmu	हमारी घृणा	reduced in value, diminished
abálájo	अनुभव	that is why
abé	सुई	under
abínibí	राष्ट्रीयता	inborn
abúléko	गाँव	village
accra	अकरा	accra
adaba	सुविधाजनक	factor
adabaye	ठीक है	previously-existing
adarihunrun	सफाई वाला	human
addis	अदीस	addis
adeda	प्रकृति	creator
adiokan	अकेला	stubbornness
adágbà	ज्येष्ठ	adagba
adúgbò kútò	गली में पड़ोसी	kuto area
adúgbò mókóla	mucocula	mokola area
adúgbò quarry	खदान पड़ोसियों	neighborhood
adúgbò ìdí	पड़ोस के कारण	area
afida	परिवार	element
afomo	उदाहरण के लिए	cleansing
afoyemo	सार	abstract
africa	अफ्रीका	africa
african	अफ़्रीकी	ara afrika
africans	अफ्रीकियों	africans
aféfé	विंडमिल	air
agba	रंग	principal
agbado	मक्का	maize
agbara	शक्ति	power
agbaye	दुनिया	world
agbeinadie	खेत	semi-conductor
agbà	एक वयस्क	adult
agbàbò	रक्षा करनेवाला	adopted child
agbára	शक्ति	power
agbéiná	अग्निशामक	conductor
agio	रोना	agio
aintimulo	aintimulo	un-exploited
aisi	कमी	lack
ajagun	एक कुत्ता	ajagun
aje	अर्थव्यवस्था	trade
ajemoroyin	पूछताछ	reporting
ajibola	कार्यसूची	ajibola
ajo	यात्रा	firms
ajoro	यात्रा	discussion
ajọra	प्रतिकृति	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	तोपें	akinpelu
akokolo	अवधि	period
akole	हम नहीं कर सकते	title
akoni	हमारे पास नहीं ह	teacher
akopa	सबसे पहले	participant
akopo	संकलन	assembly
akátá	सियार	african american
akíkanjú	बहादुर	courageous
akíngbógun	बटालियन	akingbogun
akẹ́kọ̀ọ́	छात्र	students
ala	नीचे	limit
alaabo	विकलांग	protection
alaadanida	अवांछित	individual
alaafia	शांति	peace
alaafin	अवैध	alaafin
aladaani	निजी	privately-owned
aladani	निजी	self-owned
aladanida	मनमाना	private
alaidogba	असंतुलित	unequal
alaigbara	अथक	neutron
alaini	दरिद्र	the poor
alakitiyan	कार्यकर्ता	activist
alakobere	नौसिखिया	primary
alalaye	मिट्टी की	explanatory
alawose	अटकल	mentor
albany	अल्बानी	albany
albert	अल्बर्ट	albert
alexandra	एलेक्जेंड्रा	alexandra
alicia	एलिसिया	alicia
allāh	अल्लाह	allah
alominira	आजादी	independent
alpha	अल्फा	alpha
alubàbá	पिता जी	drummer
alukuraani	कुरान	quran
alumoni	रोगनिवारक	minerals
alumíníọ̀mù	अल्युमीनियम	aluminium
alákọ̀bẹ̀rẹ̀	प्रारंभ करने वाला	primary education
alápapò	प्रतिस्थापन	general
alátise	कलाकार	alatise
aláyèwò	निरीक्षक	expert
aláísàn	बीमार	the sick
alúwo	उछाल	traditional cults
alọ́po	बटुआ	tied
amazonas	amazonas	amazonas
americas	अमेरिका की	americas
amerika	अमेरिका	america
amojeoyipada	परिवर्तनीय	reform
amosi	मस्जिद	amos
améríkà	अमेरिकन	america
améríkà	अमेरिकन	america
an	एक	him
anabi	पैगम्बर	prophet
anc	एएनसी	anc
andaman	अंडमान	andaman
angkor	अंगकोर	angkor
anita	अनीता	anita
anschluss	anschluss	anschluss
apagusu	दक्षिण	southern
apaguusuilaorun	दक्षिण पश्चिम	south-western
apaguusuiwoorun	दक्षिण पश्चिम	part of the south
apailaorun	सूर्योदय	east side
apaiwoorun	पश्चिमी	eastern side
aparapo	मेल	confederation
apeja	मछुआ	fisherman
apeere	उदाहरण के लिए	example
apis	शहद की मक्खी	apis
apòmù	तहबंद	apomu
apẹ̀rè	तहबंद	example
arabu	अरब	arab
aralíle	उष्णकटिबंधीय	healthy body
arinkankan	यह वाला	nationalist
ariso	ऐरिस	oral tradition
ariwaarin	मध्य पूर्व	mid-north
ariwaguusu	पश्चिमी	north-south
arkansas	अर्कांसस	arkansas
aroko	वनस्पतियां	composition
aruleyin	हैलो	carried on the back
arun	रोग	disease
aryan	आर्यन	aryan
aráa	भाई	people from
arábíà	वर्णमाला	arabia
aráròmí	हैलो	araromi
arópò	रिश्वतखोरी	substitute
arúgbó	बुढ़ापा	elderly
arọ	लंगड़ा	cripple
asagun	विजय	intial, first (referring to the 13 colonies)
ascii	पता लगाएं	ascii
aseeto	समझौता	unfair
aseyori	सफलता	success
asipa	विचलन	first to kill
assessment	मूल्यांकन	ayewo
asìko	बकवास	time; ni asiko=when
asèdá	प्राकृतिक	origination
atangbona	परमाणु	emission
atanna	परमाणु	emitter
atigba	स्वीकार्य	from time
atimo	योजना	inland
atinrin	हस रहा	thin
atun	रिवाइंड	also
atunse	भूल सुधार	revision
australia	ऑस्ट्रेलिया	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	ऑस्ट्रोनेशियाई	austronesian
austríà	ऑस्ट्रेलिया	austria
avar	avar	avar
awari	खोज	discovery
awo	प्लेट	of
awonara	भावना	people of
awoòn	टेम्पलेट	people
awon	उन्हें	they
awuruju	जादुई	shady
awùjo	के सौजन्य से	society
awújẹ	कांड	root
aya	कविता	chest
ayeye	अनंत काल	celebration
ayàfi	यह ठीक है	only if
ayò	ay	game
azikiwe	व्यावहारिक बुद्धि	azikwe
aṣòkan	व्यक्ति	united
baa	है	be with
babaláwo	भाजक	herbalist
bahrain	बहरीन	bahrain
balẹ̀	उसे रहने दो	settled
bang	धमाके	bang
banle	banle	banle
bara	पिछले साल	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	बयेल्सा	beyelsa
bayi	अभी	like this
bayìí	अभी	this
bce	दूर	bce
beauharnais	beauharnais	beauharnais
beijing	बीजिंग	beijing
belarus	बेलोरूस	belarus
belgium	बेल्जियम	belgium
bengal	बंगाल	bengal
bengali	बंगाली	bengal
benin	बेंच	benin
berber	हज्जाम	berber
berlin	बर्लिन	berlin
bernstein	बर्नस्टीन	bernstein
bharat	भारत	bharat
bharata	वापस लौटें	bharata
bibeli	बाइबिल	bible
biribiri	कुचल दिया गया था	intense
black	काली	dudu
bodies	शव	ara
bojú	जरा देखो तो	take care
bole	ठूंठ	ground
bolt	पेंच	bolt
bolívar	बोलिवर	bolivar
brasil	brasil	brazil
brazzaville	ब्राज़ाविल	brazzaville
bridgeport	ब्रिजपोर्ट	bridgeport
britain	ब्रिटेन	britain
brítánì	अंग्रेजों	britain
bu	अर्थात्	give
buenaventura	buenaventura	buenaventura
bujumbura	विस्तार	bujumbura
burúkú	बुराई	bad
by	द्वारा	does not translate directly, does not exist
bàbá	पिता	father
bákannáà	भी	likewise
bálè	गुब्बारा	lying on the ground
bárakú	लत	habitual
báyìí	अभी	this
bèrẹ̀	शुरुआत के लिए	started
béè	ऐसे ही	than
bòtswánà	बस	botswana
búburú	खराब	bad
búrú	बहादुर बनो	wicked
bẹ̀rẹ̀	आरंभ करना	started
bẹ́	तोड़ दिया	also
bẹ́ljíọ̀m	फीरोज़ा	belgium
bẹ́ẹ̀ni	हाँ	yes
bẹ́ẹ̀sìni	हाँ	that is it
cairo	क्रोध	cairo
calabar	च्यूइंग गम	calabar
canaria	कैनरिया	canaria
cape	केप	cape
casablanca	कैसाब्लांका	casablanca
caslon	कैसिनो	caslon
cathedral	कैथेड्रल	cathedral (katidral)
catherine	कैथरीन	catherine
cauchy	कॉची	cauchy
cbc	सीबीसी	cbc
chamorro	चमोर्रो	chamorro
charles	चार्ल्स	charles
chaskalson	chaskalson	chaskalson
chebbi	सोच	chebbi
cherished	पोषित	mu lokunkundun
china	चीन	china
cipollone	cipollone	cipollone
clear	स्पष्ट	danmanran
code	कोड	code
coetsee	coetsee	coetese
coloured	रंगीन	alawo dudu
coming	अ रहे है	yo jade
compared	तुलना	does not directly translate
computers	कंप्यूटर	komputa, ero ayarabiasa
csto	csto	csto
ct	सीटी	ct
cunha	गला	cunha
da	तथा	back; but in this form it is unnecessary
dagbasoke	बड़े हो जाओ	developing
dandan	अनिवार्य	a must
dani	पकड़े	hand-held
darapo	में शामिल होने के	joinedd
daru	नष्ट	scattered
dates	खजूर	pada si
delhi	ऐसा न करें	delhi
denver	डेन्वर	denver
des	डेस	des
describes	वर्णन करता है	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	डेसमंड	desmond
development	विकास	idagbasoke
didagba	समानता	growing
didasile	स्थापना	established
different	विभिन्न	iyato
din	तलना	reduced
dinwoju	देखो	suitable
divoire	divoire	d'ivoire
doju	आमने सामने	face
dojú	आमने सामने	turn face (full phrase is doju ko, to face)
dominic	डोमिनिक	dominic
doni	डोनी	this day
dote	dote	rebel
doublehelix	डबल हेलिक्स	hiliksi abara meji
doublestrand	doublestrand	double-strand
dover	डोवर	dova
du	डु	hustle
due	की वजह से	nitori
dun	स्वादिष्ट	sound
dàbíi	इस तरह	like
dàpò	उन्हें बदल दें	mix
dá	बनाया था	intervene
dágbó	बुढ़ापा	forest
dájó	ठीक है	pass judgement
dálóríi	धन्यवाद	about
dáradára	कुंआ	well
dásà	एक कासा	peculiar way of saying
dáwó	दान करना	undertake
dé	पहुंच गए	reach
délànà	सिद्धांत में	delana
dépò	सीमा तक	to a position
dì	चादर	be
dìde	उठता	stand
dìró	दायीं तरफ	hang on
dìtẹ̀	मिल जाना	rebel
díè	काल	few
dóko	अच्छा	upstanding
dólà	कुंआ	dollar
dún	ध्वनि	sound
dúró	सहन करना	stand (been in existence)
dọ́gba	बराबरी का	equal
ea	हाँ	ea
eba	eba	shore
ebi	परिवार	family
ecomog	ecomog	ecomog
ede	भाषा: हिन्दी	language
efrem	effem	efrem
egba	पूर्ण रूप से	cane
egbe	बंदूक	group
egberundun	एक हजार साल	a thousand year
egbo	एक घाव	brother
egbé	शोक	party
egbò	एक घाव	chemicals
egbògi	मेडिकल	don't know this
eighteen	अठारह	ejidinlogun
eka	जटिल	branch, department, part
ekeji	अन्य	second
eko	शिक्षा	lagos
elede	सूअरों	speaker
eleyi	यह	this
eleyii	इस तरह	this
elláda	सृष्टि	ellada
eléde	सार	pig
eléré	एथलीट	performer
elòmírà	काली मिर्च	freedom
elòmíràn	एक और	another person
emerging	उभरते	ibere-pese
emmanuel	एम्मानुएल	emmanuel
enikéni	हर कोई	whoever
enter	दर्ज	wole
enì	हाथी	person
eníbá	बुखार	such person
epa	मूंगफली	groundnut
ernst	अर्नस्ट	ernst
erofo	तलछट	swamp
erékùsù	द्वीप	island
eréonítàn	परिवर्णी शब्द	written play
eseese	आरेख	step by step
esia	आ रहा है	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etymologiae	etymologiae
etíòkun	सागर किनारा	beach
euro	यूरो	euro
euroasia	euroasia	uro-esia
ewe	पत्ती	ewe
ewé	पत्ती	leaf
ewì	शायरी	traditional poem
example	उदाहरण	apere
eya	वर्ग	tribe
eyin	अंडे	previous
eyonomba	eyonomba	digit
eléja	मछली पकड़ना	fisherman
elòmíràn	कोई और	another person
eka	प्रभाव	branches
eléyàmèyà	जातीयता	tribalism
enu	मुंह	mouth
esin	धर्म	horse
esè	प्राप्ति	leg
ewà	आचरण का	beauty
fagile	रद्द	cancel
fail	विफल	padanu
fan	पंखा	spread
faramó	निम्न का पालन	accept
faranse	फ्रेंच	french
farsi	arti	farsi
felifeli	मख़मली	fuming
ferde	ferde	verde
fesèmúlè	अनंतिम स्रोत	established
fe	चाहता था	want
fi	सहेजें	by
fifihan	दिखा रहा है	revealed
fihan	संकेत	shows, to show
fimú	तेजी से परिभाषित किया गया	captivate with
finiki	भौतिक विज्ञान	finiki
finlandi	फिनलैंड	finland
fitino	परीक्षण	judgement
five	पांच	marun
fodio	fodio	fodio
fofinde	पर प्रतिबंध लगाने	prohibited
fohùn	चिल्लाना	consent
foniimu	फ़िल्म	phoneme
force	बल	agbara
foriko	उदाहरण के लिए	agreed
fourbase	fourbase	onidi-merin
fowobowe	बुकिंग	signed
fowó	पैसे के लिए	sign
fracmv	fracmv	does not translate
francis	फ्रांसिस	francis
fransi	फ्रेंच	france
freetown	freetown	freetown
fuji	हटाना	fuji
fulani	राड़	fulani
fulbe	ful	fulbe
fun	के लिये	for
funra	अपने आप	suspect
further	आगे की	si
fé	fé	like
fé	fé	want
fégbé	रहने भी दो	for peers
fífò	उड़ान	jumping
fífún	दे रही है	giving
fòye	समझना	rationalise
fẹ́rẹ̀ẹ́	लगभग	nearly
galatia	इस समय	galatia
gba	इस बात से सहमत	accept
gbajúgbujà	बहुत लोकप्रिय है	popular
gbale	लोकप्रियता	flourished
gbaná	बाहर गोली मारो	engulf in flame/rage
gbe	कैरी	set up
gbera	आगे बढ़ो	move
gberasoke	जल्दी करो	rising
gbese	कर्ज	debt
gbigbamulo	शोषण	adopted
gbigbewo	वित्तपोषण	examined
gbilè	फैलना	gaining ground
gbin	लगाए	farm
gbogbogbo	सामान्य	general
gbongbo	जड़	root
gbàgbọ́	मानना	believe
gbàgùrà	हिलाकर रख दिया	gbagura
gbá	गरज	received
gbáradì	उठ जाओ	prepare
gbé	लाइव	convey
gbédìí	स्थापित करना	respect
gbékalè	बढ़ई	establish
gbéni	लाइव	lift
gbéyèwò	समीक्षा	examine
