aajo	смішні	hospitality
aala	кордон	border
aanu	співчуття	compassion
aapon	зброя	bachelor or spinster (bachelorette)
aare	ааре	president
aawe	параліч	fasting
abala	частина	division
abeikojopo	спадкоємиця	subset
abeorile	повернення додому	nation
abesahara	посипати	under the sahara
abidi	алфавіту	abidi
abidjan	коли-небудь	abidjan
abo	жіночий	security
aburunmu	наша гидота	reduced in value, diminished
abálájo	досвідчений	that is why
abé	голка	under
abínibí	національність	inborn
abúléko	село	village
accra	ака	accra
adaba	зручно	factor
adabaye	все гаразд	previously-existing
adarihunrun	очищувач	human
addis	аддіс	addis
adeda	природи	creator
adiokan	одиночний	stubbornness
adágbà	старшина	adagba
adúgbò kútò	сусідів по вулиці	kuto area
adúgbò mókóla	слизова слизова	mokola area
adúgbò quarry	кар&#39;єри сусідів	neighborhood
adúgbò ìdí	причини сусідства	area
afida	сім&#39;я	element
afomo	наприклад	cleansing
afoyemo	конспект	abstract
africa	африка	africa
african	африканський	ara afrika
africans	африканці	africans
aféfé	вітряк	air
agba	фарба	principal
agbado	кукурудзи	maize
agbara	потужність	power
agbaye	світ	world
agbeinadie	сільськогосподарські угіддя	semi-conductor
agbà	дорослий	adult
agbàbò	захисник	adopted child
agbára	потужність	power
agbéiná	пожежник	conductor
agio	плач	agio
aintimulo	антімуло	un-exploited
aisi	відсутність	lack
ajagun	собака	ajagun
aje	економіка	trade
ajemoroyin	допит	reporting
ajibola	порядок денний	ajibola
ajo	подорожі	firms
ajoro	подорожі	discussion
ajọra	репліка	resemblance
akiidah	корида	(non-standard yoruba, this maybe from benin)
akinpelu	артилерія	akinpelu
akokolo	періоду	period
akole	ми не можемо	title
akoni	у нас немає	teacher
akopa	в першу чергу	participant
akopo	складання	assembly
akátá	шакал	african american
akíkanjú	доблесний	courageous
akíngbógun	батальйон	akingbogun
akẹ́kọ̀ọ́	студент	students
ala	вниз	limit
alaabo	інвалід	protection
alaadanida	небажаний	individual
alaafia	мир	peace
alaafin	нелегітимний	alaafin
aladaani	приватний	privately-owned
aladani	приватний	self-owned
aladanida	довільне	private
alaidogba	незбалансований	unequal
alaigbara	непереборний	neutron
alaini	нужденним	the poor
alakitiyan	активіст	activist
alakobere	новачок	primary
alalaye	земляний	explanatory
alawose	ворожіння	mentor
albany	альбані	albany
albert	альберт	albert
alexandra	александра	alexandra
alicia	алісія	alicia
allāh	все	allah
alominira	незалежність	independent
alpha	альфа	alpha
alubàbá	батько	drummer
alukuraani	коран	quran
alumoni	лікувальний	minerals
alumíníọ̀mù	алюміній	aluminium
