aajo	سخيف	hospitality
aala	الحدود	border
aanu	تعاطف	compassion
aapon	آبون	bachelor or spinster (bachelorette)
aare	آري	president
aawe	شلل	fasting
abala	الجزء	division
abeikojopo	وريثة	subset
abeorile	العودة للوطن	nation
abesahara	رش	under the sahara
abidi	الأبجدية	abidi
abidjan	أبدا	abidjan
abo	المؤنث	security
aburunmu	رجسنا	reduced in value, diminished
abálájo	يختبر	that is why
abé	إبرة	under
abínibí	الجنسية	inborn
abúléko	قرية	village
accra	أكرا	accra
adaba	مناسب	factor
adabaye	حسنا	previously-existing
adarihunrun	منظف	human
addis	أديس	addis
adeda	طبيعة	creator
adiokan	المنعزل	stubbornness
adágbà	المسنين	adagba
adúgbò kútò	الجيران في الشارع	kuto area
adúgbò mókóla	الغشاء المخاطي	mokola area
adúgbò quarry	الجيران المحجر	neighborhood
adúgbò ìdí	أسباب الحي	area
afida	العائلة	element
afomo	فمثلا	cleansing
afoyemo	ملخص	abstract
africa	أفريقيا	africa
african	الأفريقي	ara afrika
africans	الأفارقة	africans
aféfé	طاحونة هوائية	air
agba	رسم	principal
agbado	الذرة	maize
agbara	قوة	power
agbaye	العالم	world
agbeinadie	الأرض الزراعية	semi-conductor
agbà	بالغ	adult
agbàbò	حامية	adopted child
agbára	قوة	power
agbéiná	رجل الاطفاء	conductor
agio	يبكي	agio
aintimulo	aintimulo	un-exploited
aisi	نقص	lack
ajagun	كلب	ajagun
aje	الاقتصاد	trade
ajemoroyin	استجواب	reporting
ajibola	جدول أعمال	ajibola
ajo	السفر	firms
ajoro	السفر	discussion
ajọra	نسخة مطابقة للأصل	resemblance
akiidah	كوريدة	(non-standard yoruba, this maybe from benin)
akinpelu	سلاح المدفعية	akinpelu
akokolo	فترة	period
akole	نحن لا نستطيع	title
akoni	ليس عندنا	teacher
akopa	اولا في المقام الاول اولا قبل كل شي	participant
akopo	التحويل البرمجي	assembly
akátá	ابن آوى	african american
akíkanjú	الشجاع	courageous
akíngbógun	كتيبة	akingbogun
akẹ́kọ̀ọ́	طالب علم	students
ala	أسفل	limit
alaabo	معاق	protection
alaadanida	غير مرغوب فيه	individual
alaafia	سلام	peace
alaafin	غير شرعي	alaafin
aladaani	نشر	privately-owned
aladani	نشر	self-owned
aladanida	اعتباطيا	private
alaidogba	غير متوازن	unequal
alaigbara	لا يقاوم	neutron
alaini	محتاج	the poor
alakitiyan	ناشط	activist
alakobere	مبتدئ	primary
alalaye	ترابي	explanatory
alawose	عرافة	mentor
albany	ألباني	albany
albert	ألبرت	albert
alexandra	الكسندرا	alexandra
alicia	أليسيا	alicia
allāh	الله	allah
alominira	استقلال	independent
alpha	ألفا	alpha
alubàbá	الآب	drummer
alukuraani	القرآن	quran
alumoni	علاجي	minerals
alumíníọ̀mù	الألومنيوم	aluminium
alákọ̀bẹ̀rẹ̀	البادئ	primary education
alápapò	إستبدال	general
alátise	فنان	alatise
aláyèwò	مفتش	expert
aláísàn	مرض	the sick
alúwo	فقاعة	traditional cults
alọ́po	محفظة نقود	tied
amazonas	أمازوناس	amazonas
americas	الأمريكتين	americas
amerika	أمريكا	america
amojeoyipada	قابلة للتحويل	reform
amosi	مسجد	amos
améríkà	أمريكي	america
améríkà	أمريكي	america
an	أ	him
anabi	النبي	prophet
anc	قدم	anc
andaman	أندمان	andaman
angkor	أنغكور	angkor
anita	أنيتا	anita
anschluss	غموض	anschluss
apagusu	الجنوب	southern
apaguusuilaorun	جنوب غرب	south-western
apaguusuiwoorun	جنوب غرب	part of the south
apailaorun	شروق الشمس	east side
apaiwoorun	الغربي	eastern side
aparapo	مزيج	confederation
apeja	صياد السمك	fisherman
apeere	فمثلا	example
apis	أبيس	apis
apòmù	ساحة	apomu
apẹ̀rè	ساحة	example
arabu	عرب	arab
aralíle	استوائي	healthy body
arinkankan	هذا	nationalist
ariso	تظهر	oral tradition
ariwaarin	الشرق الأوسط	mid-north
ariwaguusu	جنوبي غربي	north-south
arkansas	أركنساس	arkansas
aroko	الغطاء النباتي	composition
aruleyin	مرحبا	carried on the back
arun	مرض	disease
aryan	الآرية	aryan
aráa	شقيق	people from
