$	dollarni tashkil etadi	(dollar sign)
=	=	=
a	da	has
ab	ab	ab
abandon	taslim bo&#39;lish	abandonment
abandonne	tashlab ketilgan	abandoned
abandonner	tashlab ketmoq	abandon
abandonné	tashlab ketilgan	abandoned
abandonnée	tashlab ketilgan	abandoned
abandonnés	tashlab ketilgan	abandonned
abc	abc	abc
abd	qorin	abd
abondante	mo&#39;l-ko&#39;l	abundant
aborde	mixlar	addresses
aborigènes	mahalliy odamlar	aborigines
abou	abou	abou
about	haqida	about
abouti	omadli	led
aboutir	muvaffaqiyatga erishmoq	lead
aboutit	natijada	results
abraham	ibrohim	abraham
abrite	boshpanalar	shelter
absence	yo&#39;qligi	lack of
absent	yo&#39;q	absent
absolu	mutlaq	absolute
absolue	mutlaq	absolute
absolument	mutlaqo	absolutely
absurde	bema&#39;ni	absurd
abu	mast edi	(name)
abus	suiiste&#39;mol qilish	abuse
ac	ak	ac
académie	akademiyasi	academy
académique	akademik	academical
accepte	qabul qilindi	agrees
acceptent	qabul qiling	agree
accepter	qabul qiling	accept
accepté	qabul qilindi	agreed
accessible	kirish mumkin	accessible
accessibles	kirish mumkin	accessible
accident	baxtsiz hodisa	accident
accidents	baxtsiz hodisalar	accidents
accompagne	hamrohlik qildi	accompanied
accompagné	hamrohlik qildi	accompanied
accompagnée	hamrohlik qildi	accompanied
accompagnés	hamrohlik qildi	accompanied
accompli	bajarildi	accomplished
accord	kelishuv	agreement
accorde	ruxsat berilgan	grants
accorder	grant	to give
accords	akkordlar	agreements
accordé	ruxsat berilgan	provided
accordée	berilgan	assigned
accrue	oshdi	increased
accueil	uy	welcoming center
accueille	xush kelibsiz	welcome
accueillent	xush kelibsiz	welcome
accueilli	kutib oldi	welcomed
accueillir	xush kelibsiz	welcome
accusations	ayblovlar	charges
accuse	ayblanmoqda	accuses
accusé	ayblanmoqda	accused
accusés	ayblanmoqda	accused
accède	kirgan	access
accès	kirish	access
accéder	kirish uchun	access
acdc	ac dc	ac/dc (rock band)
ace	ace	ace
acheter	sotib olmoq	buy
acheté	sotib olingan	purchased
achevé	yakunlandi	complete
achevée	yakunlandi	completed
achille	achille	achille
achromatie	achomatiya	a
achète	sotib olingan	buy
achève	yakunlandi	achieves
acide	kislota	acid
acides	kislotalar	acidic
acier	po&#39;lat	steel
aciers	po&#39;latdir	steel
acoustique	akustik	acoustic
acquiert	sotib oladi	acquire
acquis	sotib olingan	acquired
acquise	sotib olingan	acquired
acquérir	egallamoq	acquire
act	harakat qilmoq	act
acte	harakat qilmoq	deed
actes	harakat qiladi	acts
acteur	aktyor	actor
acteurs	aktyorlar	actors
actif	faol	active
actifs	faol	active
action	harakat	action
actionnaires	aksiyadorlar	shareholders
actions	harakatlar	actions
active	faol	active
activement	faol ravishda	actively
activité	faoliyat	activity
activités	faoliyati	activities
actors	aktyorlar	actors
actrice	aktrisa	actress
actrices	aktrisalar	actresses
actuel	joriy	current
actuelle	joriy	current
actuellement	hozirda	current
actuelles	joriy	current
actuels	joriy	current
adam	odam	adam
adams	adams	adams
adaptation	moslashish	adaptation
adaptations	moslashuvlar	adaptations
adapté	moslashtirilgan	adapted
adaptée	moslashtirilgan	adapted
adaptées	moslashtirilgan	suited
adaptés	moslashtirilgan	adapted
adhésion	a&#39;zolik	adhesion
adjoint	deputat	assistant
admet	tan oladi	admits
administratif	ma&#39;muriy	administrative
administratifs	ma&#39;muriy	administrative
administration	ma&#39;muriyati	administration
administrations	ma&#39;muriyatlari	administrations
administrative	ma&#39;muriy	administrative
administratives	ma&#39;muriy	administration
admiration	qoyil qolish	admiration
admis	tan oldi	accept
adn	dna	dna
adolescence	yoshlik	adolescence
adolescent	o&#39;spirin	teenager
adolescents	o&#39;spirinlar	teenagers
adolf	adolf	adolf
adopte	qabul qilingan	adopt
adopter	qabul qilmoq	adopt
adopté	qabul qilingan	adopted
adoptée	qabul qilingan	adopted
adresse	manzili	address
adresses	manzillari	addresses
adulte	kattalar	adult
adultes	kattalar	adults
adversaire	raqib	adversary
adversaires	raqiblar	adversaries
affaibli	zaiflashdi	weakened
affaire	quti	case
affaires	biznes	scandals
affecte	ta&#39;sir ko&#39;rsatdi	affect
affecté	ta&#39;sir ko&#39;rsatdi	affects
affiche	afishasi	poster
affiches	plakatlar	posters
affiliation	bog&#39;liqlik	affiliation
affirmant	da&#39;vo qilmoqda	declaring
affirme	deydi	assert
affirment	talab	maintain
affirmer	tasdiqlamoq	assert
affirmé	tasdiqladi	declared
affronte	qarama-qarshilik	fights
affronter	qarama-qarshilik	confront
afghanistan	afg&#39;oniston	afghanistan
afin	ga	to
africain	afrika	african
africaine	afrika	african
africaines	afrika	african
africains	afrikaliklar	aficans
afrique	afrika	africa
afro-asiatique	afro-osiyo	of africa & asia
afroaméricain	afro-amerikalik	afro-american
age	yoshiga qarab belgilanadi	age
agence	agentligi	agency
agences	agentliklari	agencies
agent	agent	agent
agents	agentlar	agents
agglomération	aglomeratsiya	metropolis
agglomérations	aglomeratsiyalar	settlements
agir	harakat qilmoq	act
agit	harakat qiladi	acts
agricole	qishloq xo&#39;jaligi	agricultural
agricoles	qishloq xo&#39;jaligi	agricultural
agriculture	qishloq xo&#39;jaligi	farming
ahmed	ahmed	ahmed
ai	bor	have
aide	yordam	aid
aider	yordam	help
aides	yordamchilar	aid
aidé	yordam	helped
aient	bor	had
aiguë	o&#39;tkir	acute
ailes	qanotlar	wings
ailleurs	boshqa joyda	otherwise or furthermore
aime	sevgi	love
aimé	sevgi	loved
ainsi	shunday qilib	also
air	havo	air
airbus	samolyot	airbus
aire	maydoni	saccompagne
aires	joylar	areas
airs	kuylar	sky
aisément	osonlikcha	easily
ait	bor	has
ajoutant	qo&#39;shmoqda	adding
ajoute	qo&#39;shish	add
ajouter	qo&#39;shish	add
ajouté	qo&#39;shildi	added
ajoutée	qo&#39;shildi	added
akon	akon	akon
al	al	al
alain	alain	alain
alan	alan	alan
albanais	alban	albanian
albert	albert	albert
alberto	alberto	alberto
albin	albin	albin
album	albom	album
albums	albomlar	albums
alentours	atrofi	vicinity, environs
alex	aleks	alex
alexander	aleksandr	alexander
alexandre	aleksandr	alexander
alexandrie	iskandariya	alexandria
alfred	alfred	alfred
alger	jazoir	alger
algérie	jazoir	algeria
algérien	jazoir	algerian
algérienne	jazoir	algerian
algériens	jazoirliklar	algerian
ali	ali	ali
alias	a.k.a	alias
alice	elis	alice
alimentaire	ovqat	alimentary
alimentaires	ovqat	food
alimentation	ovqat	food
aliments	ovqat	food
alive	tirik	alive
allah	olloh	allah
allaient	ketayotgan edilar	were going to
allait	ketayotgan edi	will
allan	allan	allan
allant	ketayotgan	going
allemagne	germaniya	allemagne
allemand	nemis	german
allemandes	nemis	german
