$  	ps	dollar
=	=	=
>	&gt;	>
a	el	the
ab	ab	ab
aba	aba	aba
abba	en ello	into
abban	en esto	"in that ""abban az esetben"" means ""in (that) case"""
abból	de eso	from that
abc	a b c	abc
abraham	abrahán	abraham
abszint	ajenjo	absynth
abszintot	ajenjo	absinthe
abszolút	absoluto	absolute
abu	abu	abu
ac	c.a	ac milan (football)
acdc	ac/dc	acdc
achát	ágata	agate
act	actuar	act
acél	acero	steel
ad	dar	give
adam	adán	adam
adams	adams	adams
adat	datos	data
adatai	información	data
adatait	información	data of
adatok	datos	data
adatokat	datos	data
adatot	datos	data
addig	hasta entonces	will
addigi	anterior	current
addigra	para entonces	by then
adja	entrar	give
adjon	dar	so he give
adminisztratív	administrativo	administrative
admirális	almirante	admiral
adnak	ellos	they
adni	dar	to give
adolf	adolf	adolf
adott	dado	specific
adrian	adrian	adrian
adta	dio	he performed
adtak	ellos	gave
adták	publicado	gave
ady	ady	ady
adó	impuesto	provider
adódik	debido	given
adók	doy	taxes
adót	impuestos	tax
afganisztán	afganistán	afghanistan
afganisztáni	afganistán	of afghanistan
afgán	afgano	afghani
afrika	áfrica	africa
afrikai	africano	african
afrikában	áfrica	in africa
agatha	agatha	agatha
agy	cerebro	brain
ahhoz	lo	thereto
ahogy	como	as
ahogyan	como	as
ahol	dónde	where
ahonnan	de donde	from where
ahova	dónde	to where
ahová	dónde	where
ai	ai	this word does not make sense on its own
aids	sida	aids
air	aire	air
aires	aires	aires
airsoft	airsoft	airsoft
ajánlatot	oferta	offer
ajánlott	recomendado	recommended, offered
ajánlotta	recomendado	recommended
akad	rezagos	there
akadt	atrapado	had
akadtak	había	could be found
akadályozta	prevenido	obstructed
akadémia	academia	academy
akadémiai	académico	academical
akadémián	academia	academy
akar	será	wants to
akarat	será	will
akarata	será	will of
akarja	a	wants
akarnak	ellos quieren	they want
akart	querido	he wanted
akarta	querido	wanted
akartak	ellos querían	wanted
akarták	ellos querían	wanted
akció	acción	action
akhilleusz	aquiles	achilles
aki	oms	who
akik	oms	who
akiket	oms	who
akikkel	con quien	with whom
akiknek	a quien	whom
akinek	a quien	whom
akiről	oms	of whom
akit	quién	whom
akitől	quién	from whom
akivel	con quien	whom
akkor	luego	then
akkora	el tamaño	the size
akkori	luego	then
akkoriban	en aquel momento	at that time
aktuális	actual	actual
aktív	activo	active
aktívan	activamente	actively
akusztikus	acústico	acoustic
akác	acacia	akacia
akár	será	just like
akárcsak	sólo	just like
al	alabama	al
alacsony	bajo	low
alacsonyabb	inferior	shorter
aladár	aladar	aladar
alagút	túnel	tunnel
alajos	alajos	alajos (forename)
alak	formar	shape
alakban	forma	in form
alakja	forma	person of sg
alakjai	cifras	characters of sy's
alakjában	la forma	in the form of
alakját	forma	shape
alakok	cifras	shapes
alakot	forma	character
alakul	desarrolla	evolve
alakulat	formación	formation
alakulatok	efectivo	corps
alakulnak	evolucionar	are formed
alakult	fundado	developed
alakultak	desarrollado	formed
alakulása	evolución	development
alakít	forma	shapes
alakítja	convierte	forms
alakított	formado	formed
alakította	conformado	developed
alakítottak	creado	formed
