aajo	смешен	hospitality
aala	граница	border
aanu	съчувствие	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	ааре	president
aawe	парализа	fasting
abala	частта	division
abeikojopo	наследница	subset
abeorile	завръщане у дома	nation
abesahara	пръскам	under the sahara
abidi	азбука	abidi
abidjan	някога	abidjan
abo	женски	security
aburunmu	нашата мерзост	reduced in value, diminished
abálájo	опитен	that is why
abé	игла	under
abínibí	националност	inborn
abúléko	село	village
accra	акра	accra
adaba	удобен	factor
adabaye	добре	previously-existing
adarihunrun	чистач	human
addis	адис	addis
adeda	природа	creator
adiokan	самотен	stubbornness
adágbà	бъз	adagba
adúgbò kútò	съседи на улицата	kuto area
adúgbò mókóla	лигавица на лигавицата	mokola area
adúgbò quarry	кариери съседи	neighborhood
adúgbò ìdí	квартални причини	area
afida	семейството	element
afomo	например	cleansing
afoyemo	резюме	abstract
africa	африка	africa
african	африкански	ara afrika
africans	африканци	africans
aféfé	вятърна мелница	air
agba	боя	principal
agbado	царевица	maize
agbara	мощност	power
agbaye	светът	world
agbeinadie	земеделска земя	semi-conductor
agbà	възрастен	adult
agbàbò	защитник	adopted child
agbára	мощност	power
agbéiná	пожарникар	conductor
agio	вик	agio
aintimulo	aintimulo	un-exploited
aisi	липса	lack
ajagun	куче	ajagun
aje	икономика	trade
ajemoroyin	разпит	reporting
ajibola	дневен ред	ajibola
ajo	пътуване	firms
ajoro	пътуване	discussion
ajọra	реплика	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	артилерия	akinpelu
akokolo	период	period
akole	ние не можем	title
akoni	ние нямаме	teacher
akopa	първо и най-важно	participant
akopo	компилация	assembly
akátá	чакал	african american
akíkanjú	храбър	courageous
akíngbógun	батальон	akingbogun
akẹ́kọ̀ọ́	студент	students
ala	надолу	limit
alaabo	хора с увреждания	protection
alaadanida	нежелан	individual
alaafia	мир	peace
alaafin	незаконен	alaafin
aladaani	частен	privately-owned
aladani	частен	self-owned
aladanida	своеволен	private
alaidogba	неуравновесен	unequal
alaigbara	непреодолим	neutron
alaini	беден	the poor
alakitiyan	деец	activist
alakobere	новак	primary
alalaye	земен	explanatory
alawose	гадаене	mentor
albany	albany	albany
albert	алберт	albert
alexandra	александра	alexandra
alicia	алисия	alicia
allāh	аллах	allah
alominira	независимост	independent
alpha	алфа	alpha
alubàbá	баща	drummer
