aajo	saçma	hospitality
aala	sınır	border
aanu	merhamet	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	felç	fasting
abala	parça	division
abeikojopo	mirasçı	subset
abeorile	eve dönüş	nation
abesahara	tutam	under the sahara
abidi	alfabe	abidi
abidjan	hiç	abidjan
abo	kadınsı	security
aburunmu	iğrençliğimiz	reduced in value, diminished
abálájo	tecrübeli	that is why
abé	iğne	under
abínibí	milliyet	inborn
abúléko	köy	village
accra	accra	accra
adaba	uygun	factor
adabaye	tamam	previously-existing
adarihunrun	temizleyici	human
addis	addis	addis
adeda	doğa	creator
adiokan	yalnız	stubbornness
adágbà	yaşça büyük	adagba
adúgbò kútò	komşular sokakta	kuto area
adúgbò mókóla	mucocula	mokola area
adúgbò quarry	taş ocağı komşuları	neighborhood
adúgbò ìdí	mahalle nedenleri	area
afida	aile	element
afomo	örneğin	cleansing
afoyemo	özet	abstract
africa	afrika	africa
african	afrikalı	ara afrika
africans	africans	africans
aféfé	fırıldak	air
agba	boya	principal
agbado	mısır	maize
agbara	güç	power
agbaye	dünya	world
agbeinadie	tarım arazisi	semi-conductor
agbà	bir yetişkin	adult
agbàbò	koruyucu	adopted child
agbára	güç	power
agbéiná	itfaiyeci	conductor
agio	ağla	agio
aintimulo	aintimulo	un-exploited
aisi	eksiklik	lack
ajagun	bir köpek	ajagun
aje	ekonomi	trade
ajemoroyin	sorgu	reporting
ajibola	gündem	ajibola
ajo	seyahat	firms
ajoro	seyahat	discussion
ajọra	kopya	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	ağır silahlar	akinpelu
akokolo	dönem	period
akole	yapamayız	title
akoni	bizde yok	teacher
akopa	i̇lk ve en önemli	participant
akopo	derleme	assembly
akátá	çakal	african american
akíkanjú	yiğit	courageous
akíngbógun	tabur	akingbogun
akẹ́kọ̀ọ́	öğrenci	students
ala	aşağı	limit
alaabo	engelli	protection
alaadanida	istenmeyen	individual
alaafia	barış	peace
alaafin	gayri meşru	alaafin
aladaani	özel	privately-owned
aladani	özel	self-owned
aladanida	keyfi	private
alaidogba	dengesiz	unequal
alaigbara	dayanılmaz	neutron
alaini	muhtaç	the poor
alakitiyan	eylemci	activist
alakobere	acemi	primary
alalaye	dünyevi	explanatory
alawose	kehanet	mentor
albany	albany	albany
albert	köstek	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	bağımsızlık	independent
alpha	alfa	alpha
alubàbá	baba	drummer
alukuraani	kuran	quran
alumoni	iyileştirici	minerals
alumíníọ̀mù	alüminyum	aluminium
alákọ̀bẹ̀rẹ̀	öncü	primary education
alápapò	değiştirme	general
alátise	sanatçı	alatise
aláyèwò	müfettiş	expert
aláísàn	hasta	the sick
alúwo	boom	traditional cults
alọ́po	cüzdan	tied
amazonas	amazonas	amazonas
americas	amerika	americas
amerika	amerika	america
amojeoyipada	çevrilebilir	reform
amosi	cami	amos
améríkà	amerikan	america
améríkà	amerikan	america
an	bir	him
anabi	peygamber	prophet
anc	anc	anc
andaman	andaman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	güney	southern
apaguusuilaorun	güneybatısında	south-western
apaguusuiwoorun	güneybatısında	part of the south
apailaorun	gündoğumu	east side
apaiwoorun	batı	eastern side
aparapo	kombinasyon	confederation
apeja	balıkçı	fisherman
apeere	örneğin	example
apis	apis	apis
apòmù	apron	apomu
apẹ̀rè	apron	example
arabu	arap	arab
aralíle	tropikal	healthy body
arinkankan	bu	nationalist
ariso	aris	oral tradition
ariwaarin	orta doğu	mid-north
ariwaguusu	güneybatı	north-south
arkansas	arkansas	arkansas
aroko	bitki örtüsü	composition
aruleyin	merhaba	carried on the back
arun	hastalık	disease
aryan	aryan	aryan
aráa	erkek kardeş	people from
arábíà	alfabetik	arabia
aráròmí	merhaba	araromi
arópò	rüşvet	substitute
arúgbó	ihtiyarlık	elderly
arọ	topal	cripple
asagun	zafer	intial, first (referring to the 13 colonies)
ascii	bulmak	ascii
aseeto	yerleşme	unfair
aseyori	başarı	success
asipa	sapma	first to kill
assessment	değerlendirme	ayewo
asìko	saçmalık	time; ni asiko=when
asèdá	doğal	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	kabul edilebilir	from time
atimo	plan	inland
atinrin	gülme	thin
atun	geri sarma	also
atunse	düzeltme	revision
australia	avustralya	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	avustronezya	austronesian
austríà	avustralya	austria
avar	avar	avar
awari	keşif	discovery
awo	tabak	of
awonara	duygu	people of
awoòn	şablon	people
awon	onları	they
awuruju	büyülü	shady
awùjo	nezaket	society
awújẹ	skandal	root
aya	ayet	chest
ayeye	sonsuzluk	celebration
ayàfi	iyi	only if
ayò	evet	game
azikiwe	sağduyu	azikwe
aṣòkan	bireysel	united
baa	dır-dir	be with
babaláwo	ilahi	herbalist
bahrain	bahreyn	bahrain
balẹ̀	bırak olsun	settled
bang	patlama	bang
banle	banle	banle
bara	geçen yıl	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	şimdi	like this
bayìí	şimdi	this
bce	uzakta	bce
beauharnais	beauharnais	beauharnais
beijing	pekin	beijing
belarus	belarus	belarus
belgium	belçika	belgium
bengal	bengal	bengal
bengali	bengal	bengal
benin	bank	benin
berber	berberi	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
