aajo	હાસ્યાસ્પદ	hospitality
aala	સીમા	border
aanu	કરુણા	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	આરે	president
aawe	લકવો	fasting
abala	ભાગ	division
abeikojopo	વારસદાર	subset
abeorile	વતન	nation
abesahara	છંટકાવ	under the sahara
abidi	મૂળાક્ષર	abidi
abidjan	ક્યારેય	abidjan
abo	સ્ત્રીની	security
aburunmu	આપણો તિરસ્કાર	reduced in value, diminished
abálájo	અનુભવી	that is why
abé	સોય	under
abínibí	રાષ્ટ્રીયતા	inborn
abúléko	ગામ	village
accra	એકરા	accra
adaba	અનુકૂળ	factor
adabaye	બરાબર	previously-existing
adarihunrun	ક્લીનર	human
addis	એડિસ	addis
adeda	પ્રકૃતિ	creator
adiokan	એકાંત	stubbornness
adágbà	વડીલ	adagba
adúgbò kútò	પડોશી યોજના	kuto area
adúgbò mókóla	મ્યુકોક્યુલા	mokola area
adúgbò quarry	ખાણ પડોશીઓ	neighborhood
adúgbò ìdí	પડોશી કારણો	area
afida	કુટુંબ	element
afomo	દાખ્લા તરીકે	cleansing
afoyemo	સારાંશ	abstract
africa	આફ્રિકા	africa
african	આફ્રિકન	ara afrika
africans	આફ્રિકન	africans
aféfé	પવનચક્કી	air
agba	પેઇન્ટ	principal
agbado	મકાઈ	maize
agbara	શક્તિ	power
agbaye	વિશ્વ	world
agbeinadie	ખેતીની જમીન	semi-conductor
agbà	એક પુખ્ત વયના	adult
agbàbò	રક્ષક	adopted child
agbára	શક્તિ	power
agbéiná	ફાયરમેન	conductor
agio	રુદન	agio
aintimulo	એંટીમ્યુલો	un-exploited
aisi	અભાવ	lack
ajagun	કુતરો	ajagun
aje	અર્થતંત્ર	trade
ajemoroyin	પૂછપરછ	reporting
ajibola	કાર્યસૂચિ	ajibola
ajo	પ્રવાસ	firms
ajoro	પ્રવાસ	discussion
ajọra	પ્રતિકૃતિ	resemblance
akiidah	કોરિડાહ	(non-standard yoruba, this maybe from benin)
akinpelu	આર્ટિલરી	akinpelu
akokolo	સમયગાળો	period
akole	અમે નઈ કરી શકીએ	title
akoni	અમારી પાસે નથી	teacher
akopa	પ્રથમ અને અગ્રણી	participant
akopo	સંકલન	assembly
akátá	શિયાળ	african american
akíkanjú	બહાદુર	courageous
akíngbógun	બટાલિયન	akingbogun
akẹ́kọ̀ọ́	વિદ્યાર્થી	students
ala	નીચે	limit
alaabo	અક્ષમ	protection
alaadanida	અનિચ્છનીય	individual
alaafia	શાંતિ	peace
alaafin	ગેરકાયદેસર	alaafin
aladaani	ખાનગી	privately-owned
aladani	ખાનગી	self-owned
aladanida	મનસ્વી	private
alaidogba	અસંતુલિત	unequal
alaigbara	અનિવાર્ય	neutron
alaini	જરૂરિયાતમંદ	the poor
alakitiyan	કાર્યકર	activist
alakobere	શિખાઉ	primary
alalaye	ધરતીનું	explanatory
alawose	ભવિષ્યકથન	mentor
albany	અલ્બેની	albany
albert	આલ્બર્ટ	albert
alexandra	એલેક્ઝાન્ડ્રા	alexandra
alicia	એલિસિયા	alicia
allāh	allāh	allah
alominira	સ્વતંત્રતા	independent
alpha	આલ્ફા	alpha
alubàbá	પિતા	drummer
alukuraani	કુરાન	quran
alumoni	રોગનિવારક	minerals
alumíníọ̀mù	એલ્યુમિનિયમ	aluminium
alákọ̀bẹ̀rẹ̀	દીક્ષા કરનાર	primary education
alápapò	બદલી	general
alátise	કલાકાર	alatise
aláyèwò	નિરીક્ષક	expert
aláísàn	બીમાર	the sick
alúwo	તેજી	traditional cults
alọ́po	વૉલેટ	tied
amazonas	એમેઝોનાસ	amazonas
americas	અમેરિકા	americas
amerika	અમેરિકા	america
amojeoyipada	કન્વર્ટિબલ	reform
amosi	મસ્જિદ	amos
améríkà	અમેરિકન	america
améríkà	અમેરિકન	america
an	એક	him
anabi	પ્રબોધક	prophet
anc	anc	anc
andaman	andman	andaman
angkor	અંગકોર	angkor
anita	અનિતા	anita
anschluss	એન્સક્લુસ	anschluss
apagusu	દક્ષિણ	southern
apaguusuilaorun	દક્ષિણપશ્ચિમ	south-western
apaguusuiwoorun	દક્ષિણપશ્ચિમ	part of the south
apailaorun	સૂર્યોદય	east side
apaiwoorun	પશ્ચિમ	eastern side
aparapo	સંયોજન	confederation
apeja	માછીમાર	fisherman
apeere	દાખ્લા તરીકે	example
apis	એપીસ	apis
apòmù	એપ્રોન	apomu
apẹ̀rè	એપ્રોન	example
arabu	અરબ	arab
aralíle	ઉષ્ણકટિબંધીય	healthy body
arinkankan	આ એક	nationalist
ariso	ઉદ્ભવ	oral tradition
ariwaarin	મધ્ય પૂર્વ	mid-north
ariwaguusu	દક્ષિણપશ્ચિમ	north-south
arkansas	અરકાનસાસ	arkansas
aroko	વનસ્પતિ	composition
aruleyin	નમસ્તે	carried on the back
arun	રોગ	disease
aryan	આર્યન	aryan
aráa	ભાઈ	people from
arábíà	મૂળાક્ષર	arabia
aráròmí	નમસ્તે	araromi
arópò	લાંચ	substitute
arúgbó	ઉંમર લાયક	elderly
arọ	લંગડા	cripple
asagun	વિજય	intial, first (referring to the 13 colonies)
ascii	શોધવા	ascii
aseeto	સમાધાન	unfair
aseyori	સફળતા	success
asipa	વિચલન	first to kill
assessment	આકારણી	ayewo
asìko	બકવાસ	time; ni asiko=when
asèdá	કુદરતી	origination
atangbona	અણુ	emission
atanna	અણુ	emitter
atigba	સ્વીકાર્ય	from time
atimo	યોજના	inland
atinrin	હસવું	thin
atun	રીવાઇન્ડ કરો	also
atunse	કરેક્શન	revision
australia	સ્ટ્રેલિયા	australia
austriahumgary	ustસ્ટ્રિઆહમગરી	austria-hungary
austronesian	ustસ્ટ્રોનેશિયન	austronesian
austríà	સ્ટ્રેલિયા	austria
avar	અવર	avar
awari	શોધ	discovery
awo	પ્લેટ	of
awonara	લાગણી	people of
awoòn	નમૂના	people
awon	તેમને	they
awuruju	જાદુઈ	shady
awùjo	સૌજન્ય	society
awújẹ	કૌભાંડ	root
aya	શ્લોક	chest
ayeye	મરણોત્તર જીવન	celebration
ayàfi	તે સારું છે	only if
ayò	આય	game
azikiwe	સામાન્ય અર્થમાં	azikwe
aṣòkan	વ્યક્તિગત	united
baa	છે	be with
babaláwo	દૈવી	herbalist
bahrain	બાહરીન	bahrain
balẹ̀	તેને રહેવા દો	settled
bang	બેંગ	bang
banle	બેલે	banle
bara	ગયું વરસ	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	બાયલ્સા	beyelsa
bayi	હવે	like this
bayìí	હવે	this
bce	દૂર	bce
beauharnais	beauharnais	beauharnais
beijing	બીજિંગ	beijing
belarus	બેલારુસ	belarus
belgium	બેલ્જિયમ	belgium
bengal	બેંગલ	bengal
bengali	બેંગાલી	bengal
benin	બેંચ	benin
berber	બાર્બર	berber
berlin	બર્લિન	berlin
bernstein	બર્ન્સટીન	bernstein
bharat	ભારત	bharat
bharata	પાછા આવી જાઓ	bharata
bibeli	બાઇબલ	bible
biribiri	કચડી હતી	intense
black	કાળો	dudu
bodies	શરીરો	ara
bojú	જરા જોઈ લો	take care
bole	બોલે	ground
bolt	બોલ્ટ	bolt
bolívar	બોલાવર	bolivar
brasil	બ્રાઝિલ	brazil
brazzaville	બ્રેઝાવિલે	brazzaville
bridgeport	બ્રિજપોર્ટ	bridgeport
britain	બ્રિટન	britain
brítánì	બ્રિટિશ	britain
bu	તે જ	give
buenaventura	બુએનાવેન્ટુરા	buenaventura
bujumbura	વિસ્તૃત	bujumbura
burúkú	દુષ્ટ	bad
by	દ્વારા	does not translate directly, does not exist
bàbá	પિતા	father
bákannáà	તેમજ	likewise
bálè	બલૂન	lying on the ground
bárakú	વ્યસન	habitual
báyìí	હવે	this
bèrẹ̀	સાથે શરૂ કરવા માટે	started
béè	તેના જેવુ	than
bòtswánà	બસ	botswana
búburú	ખરાબ	bad
búrú	બહાદુર હોવું	wicked
bẹ̀rẹ̀	પ્રારંભ કરવા માટે	started
bẹ́	તૂટી	also
bẹ́ljíọ̀m	બેરલ	belgium
bẹ́ẹ̀ni	હા	yes
bẹ́ẹ̀sìni	હા	that is it
cairo	ક્રોધાવેશ	cairo
calabar	ચ્યુઇંગ ગમ	calabar
canaria	કેનેરિયા	canaria
cape	કેપ	cape
casablanca	કાસાબ્લાન્કા	casablanca
caslon	કેસિનો	caslon
cathedral	કેથેડ્રલ	cathedral (katidral)
catherine	કેથરિન	catherine
cauchy	સાવચેતીભર્યું	cauchy
cbc	સીબીસી	cbc
chamorro	કેમોરો	chamorro
charles	ચાર્લ્સ	charles
chaskalson	ચેસ્કલ્સન	chaskalson
chebbi	વિચારો	chebbi
cherished	પ્રિય છે	mu lokunkundun
china	ચાઇના	china
cipollone	સાયપોલોન	cipollone
clear	ચોખ્ખુ	danmanran
code	કોડ	code
coetsee	કોટસી	coetese
coloured	રંગીન	alawo dudu
coming	આવતા	yo jade
compared	સરખામણી	does not directly translate
computers	કમ્પ્યુટર	komputa, ero ayarabiasa
csto	સી.એસ.ટી.ઓ.	csto
ct	સીટી	ct
cunha	ગળું	cunha
da	અને	back; but in this form it is unnecessary
dagbasoke	મોટા થાય છે	developing
dandan	ફરજિયાત	a must
dani	હોલ્ડિંગ	hand-held
darapo	જોડાઓ	joinedd
daru	નાશ	scattered
dates	તારીખ	pada si
delhi	નથી	delhi
denver	ડેન્વર	denver
des	ડેસ	des
describes	વર્ણવે છે	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	ઉતરવું	desmond
development	વિકાસ	idagbasoke
didagba	સમાનતા	growing
didasile	સ્થાપના	established
different	ભિન્ન	iyato
din	ફ્રાય	reduced
dinwoju	જુઓ	suitable
divoire	divoire	d'ivoire
doju	ચહેરા પર ચહેરો	face
dojú	ચહેરા પર ચહેરો	turn face (full phrase is doju ko, to face)
dominic	પ્રબળ	dominic
doni	ડોની	this day
dote	ડોટ	rebel
doublehelix	ડબલહેલિક્સ	hiliksi abara meji
doublestrand	ડબલસ્ટ્રાન્ડ	double-strand
dover	ડોવર	dova
du	ડુ	hustle
due	કારણે	nitori
dun	સ્વાદિષ્ટ	sound
dàbíi	આ જેમ	like
dàpò	તેમને બદલો	mix
dá	બનાવ્યું	intervene
dágbó	ઉંમર લાયક	forest
dájó	ઠીક છે	pass judgement
dálóríi	આભાર	about
dáradára	સારું	well
dásà	એક કાસા	peculiar way of saying
dáwó	દાન કરો	undertake
dé	પહોંચ્યા	reach
délànà	સિદ્ધાંતમાં	delana
dépò	હદ સુધી	to a position
dì	ચાદર	be
dìde	ઊગવું	stand
dìró	જમણી બાજુએ	hang on
dìtẹ̀	કાવતરું	rebel
díè	તંગ	few
dóko	સારું	upstanding
dólà	સારું	dollar
dún	અવાજ	sound
dúró	ઉભા રહેવું	stand (been in existence)
dọ́gba	બરાબર	equal
ea	હા	ea
eba	ઇબા	shore
ebi	કુટુંબ	family
ecomog	ઇકોગ	ecomog
ede	ભાષા	language
efrem	અસર	efrem
egba	સંપૂર્ણપણે	cane
egbe	બંદૂક	group
egberundun	એક હજાર વર્ષ	a thousand year
egbo	એક ઘા	brother
egbé	અફસોસ	party
egbò	એક ઘા	chemicals
egbògi	તબીબી	don't know this
eighteen	અ eighાર	ejidinlogun
eka	જટિલ	branch, department, part
ekeji	બીજી	second
eko	શિક્ષણ	lagos
elede	પિગ	speaker
eleyi	આ	this
eleyii	આ જેમ	this
elláda	બનાવટ	ellada
eléde	અમૂર્ત	pig
eléré	રમતવીર	performer
elòmírà	સીવીડ	freedom
elòmíràn	બીજો	another person
emerging	ઉભરતા	ibere-pese
