aajo	chwerthinllyd	hospitality
aala	ffin	border
aanu	tosturi	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	parlys	fasting
abala	y rhan	division
abeikojopo	aeres	subset
abeorile	dychwelyd adref	nation
abesahara	taenellwch	under the sahara
abidi	wyddor	abidi
abidjan	erioed	abidjan
abo	benywaidd	security
aburunmu	ein ffieidd-dra	reduced in value, diminished
abálájo	yn brofiadol	that is why
abé	nodwydd	under
abínibí	cenedligrwydd	inborn
abúléko	pentref	village
accra	accra	accra
adaba	cyfleus	factor
adabaye	iawn	previously-existing
adarihunrun	glanhawr	human
addis	addis	addis
adeda	natur	creator
adiokan	unig	stubbornness
adágbà	blaenor	adagba
adúgbò kútò	cymdogion yn y stryd	kuto area
adúgbò mókóla	mwcosa mwcola	mokola area
adúgbò quarry	cymdogion chwarel	neighborhood
adúgbò ìdí	rhesymau cymdogaeth	area
afida	y teulu	element
afomo	er enghraifft	cleansing
afoyemo	crynodeb	abstract
africa	affrica	africa
african	african	ara afrika
africans	africans	africans
aféfé	melin wynt	air
agba	paent	principal
agbado	indrawn	maize
agbara	pŵer	power
agbaye	y byd	world
agbeinadie	tir fferm	semi-conductor
agbà	oedolyn	adult
agbàbò	amddiffynwr	adopted child
agbára	pŵer	power
agbéiná	dyn tân	conductor
agio	crio	agio
aintimulo	aintimulo	un-exploited
aisi	diffyg	lack
ajagun	ci	ajagun
aje	economi	trade
ajemoroyin	holi	reporting
ajibola	agenda	ajibola
ajo	teithio	firms
ajoro	teithio	discussion
ajọra	replica	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	magnelau	akinpelu
akokolo	cyfnod	period
akole	ni allwn	title
akoni	does gennym ni ddim	teacher
akopa	yn gyntaf oll	participant
akopo	crynhoad	assembly
akátá	jackal	african american
akíkanjú	nerthol	courageous
akíngbógun	bataliwn	akingbogun
akẹ́kọ̀ọ́	myfyriwr	students
ala	i lawr	limit
alaabo	anabl	protection
alaadanida	dieisiau	individual
alaafia	heddwch	peace
alaafin	anghyfreithlon	alaafin
aladaani	preifat	privately-owned
aladani	preifat	self-owned
aladanida	mympwyol	private
alaidogba	anghytbwys	unequal
alaigbara	anorchfygol	neutron
alaini	anghenus	the poor
alakitiyan	actifydd	activist
alakobere	newyddian	primary
alalaye	priddlyd	explanatory
alawose	dewiniaeth	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allāh	allah
alominira	annibyniaeth	independent
alpha	alffa	alpha
alubàbá	tad	drummer
alukuraani	koran	quran
alumoni	iachaol	minerals
alumíníọ̀mù	alwminiwm	aluminium
alákọ̀bẹ̀rẹ̀	cychwynnwr	primary education
alápapò	amnewid	general
alátise	arlunydd	alatise
aláyèwò	arolygydd	expert
aláísàn	yn sâl	the sick
alúwo	ffyniant	traditional cults
alọ́po	waled	tied
amazonas	amazonas	amazonas
americas	americas	americas
amerika	america	america
amojeoyipada	trosadwy	reform
amosi	mosg	amos
améríkà	americanaidd	america
améríkà	americanaidd	america
an	an	him
anabi	y proffwyd	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	y de	southern
apaguusuilaorun	de-orllewin	south-western
apaguusuiwoorun	de-orllewin	part of the south
apailaorun	codiad haul	east side
apaiwoorun	gorllewinol	eastern side
aparapo	cyfuniad	confederation
apeja	pysgotwr	fisherman
apeere	er enghraifft	example
apis	apis	apis
apòmù	ffedog	apomu
apẹ̀rè	ffedog	example
arabu	arab	arab
aralíle	trofannol	healthy body
arinkankan	yr un hon	nationalist
ariso	aris	oral tradition
ariwaarin	y dwyrain canol	mid-north
ariwaguusu	de-orllewinol	north-south
arkansas	arkansas	arkansas
aroko	llystyfiant	composition
aruleyin	helo	carried on the back
arun	afiechyd	disease
aryan	yr aryan	aryan
aráa	brawd	people from
arábíà	yn nhrefn yr wyddor	arabia
aráròmí	helo	araromi
arópò	llwgrwobrwyo	substitute
arúgbó	henaint	elderly
arọ	cloff	cripple
asagun	buddugoliaeth	intial, first (referring to the 13 colonies)
ascii	darganfod	ascii
aseeto	anheddiad	unfair
aseyori	llwyddiant	success
asipa	gwyriad	first to kill
assessment	asesiad	ayewo
asìko	nonsens	time; ni asiko=when
asèdá	y naturiol	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	derbyniadwy	from time
atimo	cynllun	inland
atinrin	chwerthin	thin
atun	ailddirwyn	also
atunse	cywiriad	revision
australia	awstralia	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesaidd	austronesian
austríà	awstralia	austria
avar	avar	avar
awari	darganfyddiad	discovery
awo	plât	of
awonara	emosiwn	people of
awoòn	templed	people
awon	nhw	they
awuruju	hudolus	shady
awùjo	cwrteisi	society
awújẹ	sgandal	root
aya	pennill	chest
ayeye	tragwyddoldeb	celebration
ayàfi	mae&#39;n iawn	only if
ayò	ay	game
azikiwe	synnwyr cyffredin	azikwe
aṣòkan	unigolyn	united
baa	yn	be with
babaláwo	y diviner	herbalist
bahrain	bahrain	bahrain
balẹ̀	bydded iddo fod	settled
bang	bang	bang
banle	banle	banle
bara	blwyddyn diwethaf	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	nawr	like this
bayìí	nawr	this
bce	i ffwrdd	bce
beauharnais	beauharnais	beauharnais
beijing	beijing	beijing
belarus	belarus	belarus
belgium	belgium	belgium
bengal	bengal	bengal
bengali	bengali	bengal
benin	mainc	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	dewch yn ôl	bharata
bibeli	beibl	bible
biribiri	ei falu	intense
black	du	dudu
bodies	cyrff	ara
bojú	cymerwch gip	take care
bole	bole	ground
bolt	bollt	bolt
bolívar	bolívar	bolivar
brasil	brasil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	porthladd pont	bridgeport
britain	britain	britain
brítánì	prydeinig	britain
bu	hynny yw	give
buenaventura	buenaventura	buenaventura
bujumbura	ehangu	bujumbura
burúkú	drwg	bad
by	gan	does not translate directly, does not exist
bàbá	y tad	father
bákannáà	hefyd	likewise
bálè	balŵn	lying on the ground
bárakú	dibyniaeth	habitual
báyìí	nawr	this
bèrẹ̀	i ddechrau gyda	started
béè	yn union fel hynny	than
bòtswánà	y bws	botswana
búburú	drwg	bad
búrú	byddwch yn ddewr	wicked
bẹ̀rẹ̀	i ddechrau	started
bẹ́	torrodd	also
bẹ́ljíọ̀m	beryl	belgium
bẹ́ẹ̀ni	ie	yes
bẹ́ẹ̀sìni	ie	that is it
cairo	cynddaredd	cairo
calabar	gwm cnoi	calabar
canaria	canaria	canaria
cape	clogyn	cape
casablanca	casablanca	casablanca
caslon	casino	caslon
cathedral	eglwys gadeiriol	cathedral (katidral)
catherine	catherine	catherine
cauchy	cauchy	cauchy
cbc	cbc	cbc
chamorro	chamorro	chamorro
charles	charles	charles
chaskalson	chaskalson	chaskalson
chebbi	meddwl	chebbi
cherished	coleddu	mu lokunkundun
china	llestri	china
cipollone	cipollone	cipollone
clear	yn glir	danmanran
code	côd	code
coetsee	coetsee	coetese
coloured	lliw	alawo dudu
coming	yn dod	yo jade
compared	o&#39;i gymharu	does not directly translate
computers	cyfrifiaduron	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	gwddf	cunha
da	a	back; but in this form it is unnecessary
dagbasoke	tyfu i fyny	developing
dandan	gorfodol	a must
dani	daliad	hand-held
darapo	ymuno	joinedd
daru	dinistrio	scattered
dates	dyddiadau	pada si
delhi	peidiwch â	delhi
denver	denver	denver
des	des	des
describes	yn disgrifio	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	desmond	desmond
development	datblygu	idagbasoke
didagba	cydraddoldeb	growing
didasile	sefydliad	established
different	gwahanol	iyato
din	ffrio	reduced
dinwoju	edrych i fyny	suitable
divoire	divoire	d'ivoire
doju	gwyneb i wyneb	face
dojú	gwyneb i wyneb	turn face (full phrase is doju ko, to face)
dominic	dominig	dominic
doni	doni	this day
dote	dote	rebel
doublehelix	dwblhelix	hiliksi abara meji
doublestrand	brand dwbl	double-strand
dover	dover	dova
du	du	hustle
due	oherwydd	nitori
dun	blasus	sound
dàbíi	fel hyn	like
dàpò	disodli nhw	mix
dá	creu	intervene
dágbó	henaint	forest
dájó	iawn	pass judgement
dálóríi	diolch	about
dáradára	wel	well
dásà	casa	peculiar way of saying
dáwó	rhoi	undertake
