$ tỉ	$ బిలియన్	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	అబ్ఖజియా	a name
about	గురించి	about
abraham	అబ్రహం	abraham
abrams	అబ్రమ్స్	abrams
abscbn	abscbn	abscbn
account	ఖాతా	account
aceh	aceh	(proper noun) aceh
achilles	అకిలెస్	achilles
acia	acia	acia
acid	ఆమ్లము	acid
ada	అడా	ada
adams	ఆడమ్స్	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	అడోబ్	adobe
adrian	అడ్రియన్	(proper noun) adrian
adsl	adsl	adsl
advanced	ఆధునిక	advanced
aedes	ఏడెస్	aedes
aegypti	ఈజిప్ట్	aegypti
aero	ఏరో	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	నీ సాహసం	aff
afghanistan	ఆఫ్గనిస్తాన్	afghanistan
africa	ఆఫ్రికా	(proper noun) africa
african	ఆఫ్రికన్	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	అగస్సీ	agassi
ai	who	who
ailen	ఐరిష్	ailen
aim	లక్ష్యం	aim
air	ఎయిర్	air
airbus	ఎయిర్బస్	airbus
aisne	ఐస్నే	aisne
ajax	అజాక్స్	ajax
ak	అక్	ak
akatsuki	ఆకట్సుకి	akastuki
akms	akms	akms
akô	హలో	ako
al	అల్	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	అల్బేనియా	albania
albatros	ఆల్బాట్రోస్	(proper noun) albatros, as in the aero l-39 albatros
albert	ఆల్బర్ట్	(proper noun) albert
alberto	అల్బెర్టో	(proper noun) alberto
albion	ఆల్బియన్	albion, an ancient name for great britain
albuquerque	అల్బుకెర్కీ	albuquerque
albus	albus	albus
alexa	అలెక్సా	alexa
alexandra	alexandra	alexandra
alexandria	అలెగ్జాండ్రియా	alexandria
alexandros	ఆలెక్షన్ద్రస్	alexandros
alexey	alexey	alexey
alfred	ఆల్ఫ్రెడ్	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ఆలీ	ali
alice	ఆలిస్	this is a name
allan	అల్లన్	(proper noun) allan, as in edgar allan poe
allen	అలెన్	(proper noun) allen
allmusic	ఆల్ మ్యూజిక్	allmusíc
alois	అలోఇస్	alois
alonso	అలోన్సో	alonso
alpher	alpher	(proper noun) alpher
alps	ఆల్ప్స్	alps
altai	ఆల్టై	altai
always	ఎల్లప్పుడూ	luon luon
amaravati	అమరావతి	amaravati
amazon	అమెజాన్	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	అమీన్స్	amiens
amin	అభినవ	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	అమ్మోనియా	ammonium (n.)
amphitrite	amphitrite	(proper noun) amphitrite, a greek sea goddess
an	ఒక	"(should be ""an toàn"") safe"
anand	ఆనంద్	anand
anata	anata	anata
anatolia	అనటోలియా	anatolia
andalusia	andalusia	andalusia
andaman	అండమాన్	andaman
anderson	ఆండర్సన్	anderson
andes	ఆండీస్	andes
andorra	అండొర్రా	andorra
andrew	ఆండ్రూ	andrew
andré	ఆండ్రే	andre, as in andre morval
andy	ఆండీ	(proper noun) andy, as in andy warhol
anfield	ఆన్ఫీల్డ్	anfield
ang	ఆంగ్	ang
angkor	ఆంగ్కోర్	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	సోదరుడు	english
anhmỹ	బ్రిటిష్	"(term should be ""anh mỹ"") english or american"
anhpháp	ఇంగ్లీష్ ఫ్రెంచ్	england-france
ankara	అంకారా	ankara
ankyl	ankyl	ankly
anna	అన్నా	anna
annam	ఒక నామ్	a name the way french called middle vietnam as a colony
annan	అన్నన్	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	ఆంటిగ్వా	(proper noun) antigua
anton	అంటోన్	anton
antonov	ఆంటొనోవ్	antonov
any	ఏ	any
anđêhít	aldehyde	aldehydes
ao	చెరువు	pond
aotearoa	అవోటెరోవా	aotearoa
apollo	అపోలో	apollo
apple	ఆపిల్	apple
aquinas	అక్వినాస్	a name
arab	అరబ్	(proper noun) arab
archetypal	ఆదర్శవంతమైన	archetypal
archive	ఆర్కైవ్	archive
arctan	arctan	a function
ares	ఆరేస్	ares
argentina	అర్జెంటీనా	(proper noun) the south american nation of argentina
argo	రాశిని	argo
arias	అరియాస్	arias
aringarosa	అరింగరోస	aringarosa, as in manuel aringarosa
aristotle	అరిస్టాటిల్	aristotle
arizona	arizona	arizona, as in the state
ark	మందసము	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenian	(proper noun) armenia
armstrong	ఆర్మ్స్ట్రాంగ్	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	ఆర్నాల్డ్	arnold
arsenal	ఆర్సెనల్	arsenal
artemis	అర్తెమిస్	(proper noun) artemis, the greek goddess of the hunt
aruba	అరూబ	aruba
arunachal	అరుణాచల్	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	యాష్	a name
ashikaga	అషికగా	ashikaga
ashley	ashley	(proper noun) ashley
asia	ఆసియా	asia
asm	asm	asm
asoka	అశోకుడు	asoka
association	అసోసియేషన్	association
assyria	అష్షూరు	assyria
aston	ఆస్టన్	(proper noun) aston, as in aston villa
atkinson	అత్కిన్సన్	atkinson
atlanta	అట్లాంటా	atlanta
atlantic	అట్లాంటిక్	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	ఆడిషన్	audition
auflage	అఫ్లేజ్	auflage
auguste	అగస్టే	auguste
australia	ఆస్ట్రేలియా	(proper noun) australia
austria	ఆస్ట్రియా	(proper noun) the country of austria
austrian	ఆస్ట్రియన్	austrian
avar	అవార్	a name
aviation	విమానయాన	aviation
awad	awad	awad
award	అవార్డు	award
axit	ఆమ్లము	acid
ayeyarwady	అఎయర్వడి	ayeyarwady
ayumi	అయుమి	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	అజెర్బైజాన్	(proper noun) azerbaijan
aztec	అజ్టెక్	aztec, as in the aztec people (adj.)
ba	తండ్రి	three
babylon	బాబిలోన్	babylon
bacon	బేకన్	bacon
baden	బాడెన్	baden
baghdad	బాగ్దాద్	(proper noun) baghdad
bago	bago	bago
bahamas	బహామాస్	bahamas
bahrain	బహ్రెయిన్	bahrain
baháí	బహాయ్	bahai
balearic	బాలెయారిక్	balearic
bali	బలి	bali
balkan	బాల్కన్	(proper adjective) balkan
balkans	బాల్కన్	balkans
ballard	బల్లార్డ్	ballard
bamar	bamar	bamar
ban	నిషేధం	the
bang	బ్యాంగ్	state
banh	బంతిని	ball
banner	బ్యానర్	banner
bantam	బాంటం	bantam
bantu	తు నిషేధం	bantu
bao	కధనంలో	bao giờ= ever
barack	బరాక్	barack
barak	బరాక్	barak
barbados	బార్బడోస్	(proper noun) barbados
barbara	బార్బరా	barbara
barbary	బార్బరీ	barbary
barca	బార్కా	barca
barnes	బర్న్స్	barnes
barone	barone	barone
baroque	బరోక్	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	బారిచెల్లో	barrichello
bartholdi	bartholdi	bartholdi
baryon	బార్యోన్	baryon
barça	బార్కా	(proper noun) barca
base	బేస్	base
basel	బాసెల్	basel, a city in switzerland
basil	బాసిల్	basil
baskervilles	ది	baskervilles
bass	బాస్	bass
bator	bator	bator
battambang	battambang	battambang
bauer	బాయర్	bauer
bay	ఎగురు	"(should be ""tuyến bay"") an airline"
bayern	బేయర్న్	bayern
bazan	బసాల్ట్	basalt (n.)
bazơ	ప్రాథమిక	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	బీట్	beat
beatles	బీటిల్స్	the beatles
beauty	అందం	beauty
beckenbauer	బెకెన్బార్	beckenbauer, as in franz beckenbauer
becker	బెకర్	(proper noun) becker
beckham	బెక్హాం	beckam
bedloe	బెద్లోయ్స్	bedloe
beethoven	బీతొవెన్	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	వెనుక	behind
beijing	బీజింగ్	beijing
bel	బెల్	bel
bell	బెల్	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	బెనెడిక్ట్	benedict
benetton	బెనెటన్	benetton
benfica	దీనికంటే	benfica
benito	బెనిటో	benito
benjamin	బెంజమిన్	(proper noun) benjamin
bennington	బెన్నింగ్టన్	bennigton
berber	బెర్బెర్	berber
bergen	బెర్గెన్	(proper noun) bergen
berger	బెర్జర్	berger
bering	బెరింగ్	(proper noun) bering, as in the bering strait
berkeley	బర్కిలీ	(proper noun) the city of berkeley, california
berman	బెర్మన్	a name
bermuda	బెర్ముడా	(proper noun) bermuda
bernard	బెర్నార్డ్	bernard
bertrand	బెర్ట్రాండ్	bertrand
better	మంచి	better
betty	బెట్టీ	betty
bhutan	భూటాన్	bhutan
bia	బీర్	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	బికినీ	bikini
bill	బిల్లు	(proper noun) bill, as in former president bill clinton
billy	బిల్లీ	billy
bismarck	బిస్మార్క్	bismarck, as in otto von bismarck
bitmap	బిట్మ్యాప్	bitmap
biên	రికార్డు	bien
biếc	టీల్	a bluish-green color (adj.)
biếm	అజాగ్రత్త	"(term should be ""biếm họa"") cartoon (n.)"
biến	అవుట్	other
biếng	సోమరి	lose interest in
biếu	నివాళి అర్పించండి	present
biều	bieu	bieu
biển	సముద్ర	ocean
biểuthứcđiềukiện	పరిస్థితులు తెలుసు	conditional expression
biện	క్షమాపణ	"(term should be ""biện pháp"") a method (n.)"
biệt	విభిన్న	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	బ్లాక్వెల్	this is a name
blair	బ్లెయిర్	blair
blaise	బ్లేజ్	blaise
blanc	బ్లాంక్	blanc
blues	బ్లూస్	blues
bo	బో	a curl, as in a biceps curl exercise
bob	బాబ్	bob
bobby	బాబీ	bobby, as in bobby day
boeing	బోయింగ్	boeing
bohemia	బొహేమియా	bohemia
bolivia	బొలివియా	(proper noun) bolivia
boltzmann	బోల్జ్మన్	boltzmann
bom	బాంబు	bomb
bonaparte	బొనపార్టే	bonaparte
bong	బాంగ్	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	బూలియన్	(proper adjective) boolean, as in boolean algebra
boom	బూమ్	boom
boong	డెక్	a deck (n.)
boongke	తొట్టెలు	bunker
bop	బాప్	bop
boris	బోరిస్	boris
borland	బోర్లాండ్	(proper noun) borland
borussia	బోరుస్సియా	borussia
bose	బోస్	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	బోస్నా	(proper noun) bosnia
bosnia	బోస్నియా	(proper noun) bosnia
botswana	బోట్స్వానా	botswana
bottom	దిగువ	bottom
boulder	బౌల్డర్	boulder
bourbon	బోర్బన్	bourbon
boxing	బాక్సింగ్	boxing
brain	మె ద డు	brain
brandenburg	బ్రాండెన్బర్గ్	(proper noun) brandenburg
brandt	బ్రాండ్ట్	brandt
braun	బ్రాన్	braun
brazil	బ్రెజిల్	brazil
bremen	బ్రెమన్	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	breton	(proper noun) breton
bretton	బ్రెట్టన్	hoi nghi
brezhnev	బ్రెజ్నెవ్	brezhnev
brian	బ్రియాన్	a name
bridge	వంతెన	bridge
britannic	బ్రిటానిక్	(proper noun) britannic
britney	బ్రిట్నీ	britney
brooklyn	బ్రూక్లిన్	brooklyn
