aajo	belachelijk	hospitality
aala	grens	border
aanu	mededogen	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	verlamming	fasting
abala	het onderdeel	division
abeikojopo	erfgename	subset
abeorile	thuiskomst	nation
abesahara	bestrooi	under the sahara
abidi	alfabet	abidi
abidjan	ooit	abidjan
abo	vrouwelijk	security
aburunmu	onze gruwel	reduced in value, diminished
abálájo	ervaren	that is why
abé	naald-	under
abínibí	nationaliteit	inborn
abúléko	dorp	village
accra	accra	accra
adaba	handig	factor
adabaye	oke	previously-existing
adarihunrun	schoner	human
addis	addis	addis
adeda	natuur	creator
adiokan	eenzaam	stubbornness
adágbà	ouderling	adagba
adúgbò kútò	buren in de straat	kuto area
adúgbò mókóla	mucola mucosa	mokola area
adúgbò quarry	steengroeve buren	neighborhood
adúgbò ìdí	buurt redenen	area
afida	de familie	element
afomo	bijvoorbeeld	cleansing
afoyemo	korte inhoud	abstract
africa	afrika	africa
african	afrikaanse	ara afrika
africans	afrikanen	africans
aféfé	windmolen	air
agba	verf	principal
agbado	maïs	maize
agbara	macht	power
agbaye	de wereld	world
agbeinadie	landbouwgrond	semi-conductor
agbà	een volwassene	adult
agbàbò	beschermer	adopted child
agbára	macht	power
agbéiná	brandweerman	conductor
agio	huilen	agio
aintimulo	aintimulo	un-exploited
aisi	gebrek	lack
ajagun	een hond	ajagun
aje	economie	trade
ajemoroyin	ondervraging	reporting
ajibola	agenda	ajibola
ajo	reizen	firms
ajoro	reizen	discussion
ajọra	replica	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artillerie	akinpelu
akokolo	periode	period
akole	we kunnen niet	title
akoni	wij hebben geen	teacher
akopa	eerst en vooral	participant
akopo	compilatie	assembly
akátá	jakhals	african american
akíkanjú	moedig	courageous
akíngbógun	bataljon	akingbogun
akẹ́kọ̀ọ́	leerling	students
ala	beneden	limit
alaabo	gehandicapt	protection
alaadanida	ongewenst	individual
alaafia	vrede	peace
alaafin	onwettig	alaafin
aladaani	privaat	privately-owned
aladani	privaat	self-owned
aladanida	willekeurig	private
alaidogba	onevenwichtig	unequal
alaigbara	onweerstaanbaar	neutron
alaini	behoeftig	the poor
alakitiyan	activist	activist
alakobere	gevorderde	primary
alalaye	aards	explanatory
alawose	waarzeggerij	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	onafhankelijkheid	independent
alpha	alpha	alpha
alubàbá	vader	drummer
alukuraani	koran	quran
alumoni	genezend	minerals
alumíníọ̀mù	aluminium	aluminium
alákọ̀bẹ̀rẹ̀	initiatiefnemer	primary education
alápapò	vervanging	general
alátise	artiest	alatise
aláyèwò	inspecteur	expert
aláísàn	ziek	the sick
alúwo	boom	traditional cults
alọ́po	portemonnee	tied
amazonas	amazonas	amazonas
americas	amerika	americas
amerika	amerika	america
amojeoyipada	converteerbaar	reform
amosi	moskee	amos
améríkà	amerikaans	america
améríkà	amerikaans	america
an	een	him
anabi	de profeet	prophet
anc	anc	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	het zuiden	southern
apaguusuilaorun	zuidwesten	south-western
apaguusuiwoorun	zuidwesten	part of the south
apailaorun	zonsopkomst	east side
apaiwoorun	westers	eastern side
aparapo	combinatie	confederation
apeja	visser	fisherman
apeere	bijvoorbeeld	example
apis	api&#39;s	apis
apòmù	schort	apomu
apẹ̀rè	schort	example
arabu	arab	arab
aralíle	tropisch	healthy body
arinkankan	deze	nationalist
ariso	aris	oral tradition
ariwaarin	het midden-oosten	mid-north
ariwaguusu	zuidwestelijk	north-south
arkansas	arkansas	arkansas
aroko	vegetatie	composition
aruleyin	hallo	carried on the back
arun	ziekte	disease
aryan	de aryan	aryan
aráa	broer	people from
arábíà	alfabetisch	arabia
aráròmí	hallo	araromi
arópò	omkoping	substitute
arúgbó	oude leeftijd	elderly
arọ	kreupel	cripple
asagun	zege	intial, first (referring to the 13 colonies)
ascii	ontdekken	ascii
aseeto	nederzetting	unfair
aseyori	succes	success
asipa	afwijking	first to kill
assessment	beoordeling	ayewo
asìko	onzin	time; ni asiko=when
asèdá	het natuurlijke	origination
atangbona	atoom	emission
atanna	atoom	emitter
atigba	toelaatbaar	from time
atimo	plan	inland
atinrin	lachend	thin
atun	terugspoelen	also
atunse	correctie	revision
australia	australië	australia
austriahumgary	austriahumgary	austria-hungary
austronesian	austronesisch	austronesian
austríà	australië	austria
avar	avar	avar
awari	ontdekking	discovery
awo	bord	of
awonara	emotie	people of
awoòn	sjabloon	people
awon	hen	they
awuruju	magisch	shady
awùjo	hoffelijkheid	society
awújẹ	schandaal	root
aya	vers	chest
ayeye	eeuwigheid	celebration
ayàfi	het is prima	only if
ayò	ay	game
azikiwe	gezond verstand	azikwe
aṣòkan	individueel	united
baa	is	be with
babaláwo	de waarzegger	herbalist
bahrain	bahrein	bahrain
balẹ̀	laat hem met rust	settled
bang	knal	bang
banle	banle	banle
bara	vorig jaar	themselves
bauxitealumina	bauxitealumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	nu	like this
bayìí	nu	this
bce	weg	bce
beauharnais	beauharnais	beauharnais
beijing	peking	beijing
belarus	wit-rusland	belarus
belgium	belgië	belgium
bengal	bengalen	bengal
bengali	bengaals	bengal
benin	bank	benin
berber	berber	berber
berlin	berlijn	berlin
