$	dollarni tashkil etadi	american dollar symbol
+	+	plus
<	&lt;	lesser than
<சீர்>	&lt;tekis&gt;	mend
<நிரை>	&lt;satr&gt;	hirsels
<நேர்>	&lt;shaxs&gt;	straight
=	=	equal
==	==	headings
===	===	equal
>	&gt;	greater than
^	^	power symbol in maths
|	|	|
~	~	percent
 × 	×	multiplication
°	°	degree
α	a	a
λ	λ	a mathematical symbol
φ	φ	mesherment
ஃபயர்ஃபாக்ஸ்	firefox	fire fox
ஃபேஸ்புக்	facebook	facebook
ஃவீனால்	hvin bo&#39;lsa	a chemaical name
அ	a	a
அ.கே.கே	tss	below asked questions
அஇஅதிமுக	aiadmk	aiadmk
அகச்சிவப்பு	infraqizil	dark red
அகதிகள்	qochqinlar	refugees
அகத்தியர்	sage	agasthiyar
அகநானூறு	akananuru	ahananuru
அகம்	a&#39;zam	inside
அகர	alifbo tartibida	alphabetically
அகரமுதலி	vikilug&#39;at	alphabets
அகரம்	agaram	agaram, a dictionary
அகரவரிசை	alifbo tartibida	alphabet
அகராதி	lug&#39;at	dictionary
அகராதிகள்	lug&#39;atlar	alphabets
அகற்ற	yo&#39;q qiling	remove
அகற்றி	olib tashlandi	destroy
அகலம்	kengligi	width
அகலாங்கு	latitude	latitude
அகழ்பொறி	akalpori	driller
அகஸ்ட்டஸ்	avgust	aghastas
அகிம்சை	zo&#39;ravonliksiz	ahimsa, and non violence
அகில	hammasi	all india
அகிலத்தின்	xalqaro	of the world
அகிலத்திரட்டு	akilattirattu	a measurement
அகிலம்	xalqaro	world
அக்கட்சியின்	zimmermann	that party
அக்கறை	xizmat	other side bank
அக்கால	vaqt	during those days
அக்காலகட்டத்தில்	davrda	during that time
அக்காலத்தில்	shu vaqtda,	at the time
அக்காலத்து	qavatlar	during those days
அக்குபிரசர்	akkupiracar	acupuncture
அக்டோபர்	oktyabr	october
அக்பரின்	akbarning	king
அக்பருக்கு	akbar	to akbar
அக்பரை	akbar	akbar
அக்பர்	akbar	akbar
அங்கமாக	qism	is a part
அங்கம்	element	part
அங்காரா	anqara	ankara
அங்கிருந்த	the	there
அங்கிருந்து	u erdan	approve
அங்கீகரிக்கப்பட்ட	vakolatli	authorised
அங்கீகாரம்	haqiqiylikni tekshirish	recognition
அங்கு	mana	there
அங்குள்ள	the	on that
அங்கூர்	ankur	angur
அங்கே	mana	there
அசல்	asl	original
அசாதாரண	favqulodda	extraordinary
அசாம்	assam	assam
அசினின்	asin	asin
அசின்	chop eting	asin
அசோகர்	ashoka	the king asoka
அச்	chop eting	that
அச்சகம்	matbuot	press
அச்சின்	chop eting	axis of
அச்சில்	chop eting	in axis
அச்சு	chop eting	axis
அச்சுப்	chop eting	print
அஜித்	ajit	ajith a name
அடக்கம்	dafn qilingan	included
அடக்கும்	bostiruvchi	contains
அடங்கிய	tarkibida	consisting, based
அடங்கியுள்ள	tarkibida	with
அடங்கியுள்ளது	tarkibida	contains
அடங்கியுள்ளன	o&#39;z ichiga oladi	included
அடங்குகின்றன	ular o&#39;z ichiga oladi	included
அடங்கும்	o&#39;z ichiga oladi	included
அடங்குவர்	shu jumladan	including
அடர்த்தி	zichlik	volume
அடர்த்தியான	qalin	dark
அடி	qadam	feet
அடிகள்	qadamlar	hits
அடிக்கடி	ko&#39;pincha	often
அடிக்குறிப்புகளும்	tagliklar	footnotes
அடிப்படை	asosiy	fundamental
அடிப்படைகள்	asoslar	fundamentals
அடிப்படைக்	asosiy	fundamentally
அடிப்படைத்	asosiy	fundamentally
அடிப்படைப்	asosiy	basic of
அடிப்படையாகக்	yoqilgan	based on the
அடிப்படையாகும்	asosiy hisoblanadi	is the fundamental
அடிப்படையான	asosiy	fundamentally
அடிப்படையிலான	asoslangan	basics
அடிப்படையிலும்	asosiy	fundamentals
அடிப்படையிலேயே	asosan	basically
அடிப்படையில்	asosan	fundamentally
அடிமை	giyohvand	slave
அடிமைகளாக	qullik	like slaves
அடிமைகள்	qullar	slaves
அடியில்	ostiga	under
அடுக்கு	qatlam	layer
அடுக்குகளில்	qatlamlarda	layer
அடுக்குகள்	qatlamlar	outer layers
அடுத்த	keyingi	next
அடுத்தடுத்த	muvaffaqiyatli	next to next
அடுத்ததாக	keyingi	next after
அடுத்தபடியாக	keyingi	after
அடுத்து	keyingi	next
அடைகிறது	yetadi	is
