aajo	smieklīgi	hospitality
aala	robeža	border
aanu	līdzjūtība	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	paralīze	fasting
abala	daļa	division
abeikojopo	mantiniece	subset
abeorile	atgriešanās mājās	nation
abesahara	apkaisa	under the sahara
abidi	alfabēts	abidi
abidjan	kādreiz	abidjan
abo	sievišķīgi	security
aburunmu	mūsu negantība	reduced in value, diminished
abálájo	pieredzējis	that is why
abé	adata	under
abínibí	tautība	inborn
abúléko	ciems	village
accra	akra	accra
adaba	ērti	factor
adabaye	viss kārtībā	previously-existing
adarihunrun	tīrāks	human
addis	addis	addis
adeda	daba	creator
adiokan	vientuļnieks	stubbornness
adágbà	vecākais	adagba
adúgbò kútò	kaimiņi uz ielas	kuto area
adúgbò mókóla	gļotāda	mokola area
adúgbò quarry	karjeru kaimiņi	neighborhood
adúgbò ìdí	apkārtnes iemesli	area
afida	ģimene	element
afomo	piemēram	cleansing
afoyemo	konspekts	abstract
africa	āfrika	africa
african	afrikāņu	ara afrika
africans	afrikāņi	africans
aféfé	vējdzirnavas	air
agba	krāsot	principal
agbado	kukurūza	maize
agbara	spēks	power
agbaye	pasaule	world
agbeinadie	lauksaimniecības zeme	semi-conductor
agbà	pieaugušais	adult
agbàbò	aizsargs	adopted child
agbára	spēks	power
agbéiná	ugunsdzēsējs	conductor
agio	raudāt	agio
aintimulo	aintimulo	un-exploited
aisi	trūkums	lack
ajagun	suns	ajagun
aje	ekonomika	trade
ajemoroyin	pratināšana	reporting
ajibola	darba kārtība	ajibola
ajo	ceļot	firms
ajoro	ceļot	discussion
ajọra	kopija	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artilērija	akinpelu
akokolo	periods	period
akole	mēs nevaram	title
akoni	mums nav	teacher
akopa	pirmkārt un galvenokārt	participant
akopo	kompilācija	assembly
akátá	šakāls	african american
akíkanjú	varens	courageous
akíngbógun	bataljons	akingbogun
akẹ́kọ̀ọ́	students	students
ala	uz leju	limit
alaabo	invalīds	protection
alaadanida	nevēlama	individual
alaafia	miers	peace
alaafin	nelikumīgs	alaafin
aladaani	privāts	privately-owned
aladani	privāts	self-owned
aladanida	patvaļīgs	private
alaidogba	nesabalansēts	unequal
alaigbara	neatvairāms	neutron
alaini	trūkumcietējiem	the poor
alakitiyan	aktīvists	activist
alakobere	iesācējs	primary
alalaye	zemes	explanatory
alawose	zīlēšana	mentor
albany	albany	albany
albert	alberts	albert
alexandra	aleksandra	alexandra
alicia	alicia	alicia
allāh	allāhs	allah
alominira	neatkarība	independent
alpha	alfa	alpha
alubàbá	tēvs	drummer
alukuraani	korāns	quran
alumoni	ārstniecisks	minerals
alumíníọ̀mù	alumīnijs	aluminium
alákọ̀bẹ̀rẹ̀	iniciators	primary education
alápapò	nomaiņa	general
alátise	mākslinieks	alatise
aláyèwò	inspektors	expert
aláísàn	slims	the sick
alúwo	uzplaukums	traditional cults
alọ́po	maku	tied
