$	dollarni tashkil etadi	your
+	+	+
<i>	<i>	me
<i><i>	<i><i>	<me><i>
<wareega	<wareega	<round
=	=	=
==	==	==
===xoriyadii	=== erkinlik	===xoriyadii
a	a	a
aa	a	he was
aaayadda	oyat	aaayadda
aabaha	ota	father
aabahayo	bizning otamiz	aabahayo
aabbe	otasi	father
aabbihii	uning otasi	father
aabbihiis	uning otasi	his father
aabe	otasi	father
aabihii	ota	his father
aabihiina	mening otam	aabihiina
aabihiis	uning otasi	his father
aabihiisna	uning otasi	aabihiisna
aad	siz	you
aada	boring	walk on to
aadam	insoniyat	adam
aadamka	odamlar	human being
aadamuhu	insoniyat	deprived
aadan	siz	you do
aadanaha	odamzod	human
aadanuhu	odamlar	human
aaday	ketdi	he went to
aaden	sen ketding	aden
aadey	ketdi	out where
aadka	juda	toss
aadna	boring	and
aado	bormoq	to go to
aafo	inqiroz	disaster
aagga	maydoni	area
aaggii	maydoni	aaggii
aakhiraa	oxiratda	aakhirraa
aakhiraba	oxiratda	hereafter
aakhirana	oxiratda	next
aakhiro	oxiratda	hereafter
aakhiroba	oxirat	speak evil things
aalacimraan	ular ketishdi	aalacimraan
aalo	vosita	questions about
aamdiga	tan olish	aamdiga
aamin	ishonch	secure
aaminaan	ishonish	trust
aamini	ishonchli	trust
aamino	ishonish	a
aaminsan	ishonish	believe
aaminsanyahay	menga ishon	thought
aaminsanyihiin	ishonish	emotions
aamisan	bunga ishon	believe that
aammiin	menga ishoning	amen
aamus	jim bo&#39;ling	silence
aan	emas	i
aanan	men qilmadim	i
aanay	qilmadilar	not
aannaan	biz qilmadik	we
aannu	biz	we
aanu	rahm-shafqat	not
aanuu	holda	does not
aar	aar	revenge
aargoosi	qasos	revenge
aas	dafn	bury
aasaar	dafn	aasaar
aasaarta	dafn	aasaarta
aasaartan	bu poydevor	ancient
aasaasaha	asoschisi	aasaasaha
aasaasay	asos solingan	he founded
aasaasayaasha	ta&#39;sischilari	founders of
aasaasayaashii	asoschilari	founders of
aasaasi	asosiy	basic
aasaasiga	asosiy	the fundamental
aasaasihii	asoschisi	of
aasaaska	poydevor	foundation
aasaaskii	poydevor	the foundation
aasaastay	asos solingan	laid the foundation of
aasaasy	poydevor	aasaasy
aasan	dam oling	get buried
aasanyahay	ko&#39;milgan	assanyahay
aasay	ko&#39;milgan	he buried
aasaynaa	ko&#39;mmoq	aasaynaa
aasiya	osiyo	asia
aasiyamaanta	uning harakatsizligi	assiyamaanta
aasiyo	mehribon	aasiyo
aay	aay	hey you
aayadaha	oyatlar	verses
aayadda	oyat	verse
ab	ab	non
abaabul	safarbar qilmoq	coordination
abaabulay	uyushgan	he organized
abaal	sovrin	reward
abaalmariyo	mukofotlar	he may reward
abaar	qurg&#39;oqchilik	drought
abaaro	vint	droughts
abaarso	maqsad	abaarso
abaarta	qurg&#39;oqchilik	abbarta
abaartii	qurg&#39;oqchilik	drought spell
ababa	keyingi	addis ababa
ababuleen	bekor qilindi	ababuleen
abd	qorin	abd
abdalle	abdalle	abdalle
abdi	qorin	abdi
abdirahman	do&#39;stim	abdirahman
abdirashid	abdrashid	take care
abdul	qorin	abdul
abdulkarim	abdulkarim	abdulkarim
abdullah	abdulloh	abdullah
abdullahi	do&#39;stlarim	abdullahi
abdulle	qorin	abdulle
abdulrahman	abdullaxmon	abdul rahman
abdulsalam	abdulsalam	abdulsalam
abeba	kapalak	capital of ethiopia
abgaal	qoshiq	abgal
abii	va boshqalar.	abii
abiidhaalib	ittifoq	abiidhaalib
abiikar	kamida	abikar
abil	abil	abil
abkhazia	abxaziya	"abkhazia "" disputed territory and considers itself an independent state"
abokar	do&#39;stim	abokor and muuse
abokor	do&#39;stim	abokor
abooreey	ilon	abooreey
abraha	abraziv	abraha
abriil	aprel	april
abroone	bekor qilindi	abroone
absame	absame	tribe
abshir	abshir	abshir
absuge	shovqin	absuge
abti	tog&#39;a	maternal uncle
abtigiis	amakisi	abtigiis
abtirisiinyihiisu	son-sanoqsiz	abtirishiinyihiisu
abtirsada	genealogiya	between
abtirsadaan	genealogiya	came originally from
