$ tỉ	$ અબજ	$ billion
abc	એબીસી	abc
abdul	અબ્દુલ	abdul
abkhazia	અબખાઝિયા	a name
about	વિશે	about
abraham	અબ્રાહમ	abraham
abrams	અબ્રામ્સ	abrams
abscbn	abscbn	abscbn
account	ખાતું	account
aceh	aceh	(proper noun) aceh
achilles	એચિલીસ	achilles
acia	એસીઆ	acia
acid	તેજાબ	acid
ada	એડા	ada
adams	એડમ્સ	(proper noun) adams
addisonwesley	એડિસનવેસ્લે	(proper noun) addison-wesley
adn	એડીએન	adn
adobe	એડોબ	adobe
adrian	એડ્રિયન	(proper noun) adrian
adsl	એડીએસએલ	adsl
advanced	અદ્યતન	advanced
aedes	એડીસ	aedes
aegypti	એજિપ્ટી	aegypti
aero	એરો	(proper noun) aero, as in the aero l-39 albatros jet
afc	એએફસી	afc
aff	aff	aff
afghanistan	અફઘાનિસ્તાન	afghanistan
africa	આફ્રિકા	(proper noun) africa
african	આફ્રિકન	african
ag	એ.જી.	ag
agasa	આગાસા	(proper noun) agasa, as in hiroshi agasa
agassi	આગાસી	agassi
ai	who	who
ailen	આઇરિશ	ailen
aim	ઉદ્દેશ	aim
air	હવા	air
airbus	એરબસ	airbus
aisne	aisne	aisne
ajax	એજેક્સ	ajax
ak	ak	ak
akatsuki	ઉર્ફસુકી	akastuki
akms	akms	akms
akô	નમસ્તે	ako
al	અલ	al
alabama	અલાબામા	alabama
alaska	અલાસ્કા	alaska
albania	અલ્બેનિયા	albania
albatros	અલ્બેટ્રોસ	(proper noun) albatros, as in the aero l-39 albatros
albert	આલ્બર્ટ	(proper noun) albert
alberto	આલ્બર્ટો	(proper noun) alberto
albion	એલ્બિયન	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	એલ્બસ	albus
alexa	એલેક્સી	alexa
alexandra	એલેક્ઝાન્ડ્રા	alexandra
alexandria	એલેક્ઝાન્ડ્રિયા	alexandria
alexandros	એલેક્ઝાન્ડ્રોસ	alexandros
alexey	એલેક્સી	alexey
alfred	આલ્ફ્રેડ	(proper noun) alfred, as in alfred kinsey
algérie	અલ્જેરી	algerie
ali	અલી	ali
alice	એલિસ	this is a name
allan	એલન	(proper noun) allan, as in edgar allan poe
allen	એલન	(proper noun) allen
allmusic	allmusic	allmusíc
alois	કુંવાર	alois
alonso	એલોન્સો	alonso
alpher	આલ્ફર	(proper noun) alpher
alps	આલ્પ્સ	alps
altai	વેલ	altai
always	હંમેશા	luon luon
amaravati	અમરાવતી	amaravati
amazon	એમેઝોન	amazon
amdo	અમ્ડો	(proper noun) amdo
ame	એમે	ame
ami	અમી	ami
amiens	એમિન્સ	amiens
amin	એમાઇન	(proper noun) amin, as in nagib amin
amm	એ.એમ.એમ.	amm
amoniac	એમોનિયા	ammonium (n.)
amphitrite	એમ્ફીટ્રાઈટ	(proper noun) amphitrite, a greek sea goddess
an	એક	"(should be ""an toàn"") safe"
anand	આનંદ	anand
anata	એનાટા	anata
anatolia	એનાટોલીયા	anatolia
andalusia	andalusia	andalusia
andaman	આંદામાન	andaman
anderson	એન્ડરસન	anderson
andes	એન્ડ્સ	andes
andorra	એન્ડોરા	andorra
andrew	એન્ડ્રુ	andrew
andré	andré	andre, as in andre morval
andy	એન્ડી	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	એંગ	ang
angkor	અંગકોર	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	એંગ્લોક્સaxન	anglo-saxon
anh	ભાઈ	english
anhmỹ	બ્રિટિશ	"(term should be ""anh mỹ"") english or american"
anhpháp	અંગ્રેજી ફ્રેન્ચ	england-france
ankara	અંકારા	ankara
ankyl	ankyl	ankly
anna	આન્ના	anna
annam	એક નમ	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	એન	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	એન્થોની	anthony
antigua	એન્ટિગુઆ	(proper noun) antigua
anton	એન્ટોન	anton
antonov	એન્ટોનોવ	antonov
any	કોઈપણ	any
anđêhít	એલ્ડીહાઇડ	aldehydes
ao	તળાવ	pond
aotearoa	aotearoa	aotearoa
apollo	એપોલો	apollo
apple	સફરજન	apple
aquinas	એક્વિનાસ	a name
arab	અરબ	(proper noun) arab
archetypal	આર્કીટિપલ	archetypal
archive	આર્કાઇવ	archive
arctan	આર્ક્ટન	a function
ares	છે	ares
argentina	આર્જેન્ટિના	(proper noun) the south american nation of argentina
argo	argo	argo
arias	એરિયા	arias
aringarosa	એરીંગોરોસા	aringarosa, as in manuel aringarosa
aristotle	એરિસ્ટોટલ	aristotle
arizona	એરિઝોના	arizona, as in the state
ark	વહાણ	ark
arkansas	અરકાનસાસ	arkansas
arlington	આર્લિંગ્ટન	(proper noun) arlington
armenia	વનવાસી	(proper noun) armenia
armstrong	આર્મસ્ટ્રોંગ	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	આર્નોલ્ડ	arnold
arsenal	શસ્ત્રાગાર	arsenal
artemis	આર્ટેમિસ	(proper noun) artemis, the greek goddess of the hunt
aruba	અરુબા	aruba
arunachal	અરુણાચલ	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	રાખ	a name
ashikaga	અશિગાગા	ashikaga
ashley	એશલી	(proper noun) ashley
asia	એશિયા	asia
asm	asm	asm
asoka	asoka	asoka
association	સંગઠન	association
assyria	આશ્શૂર	assyria
aston	એસોન	(proper noun) aston, as in aston villa
atkinson	એટકિન્સન	atkinson
atlanta	એટલાન્ટા	atlanta
atlantic	એટલાન્ટિક	atlantic
aua	આઉઆ	aua
aubrac	અબ્રાક	aubrac
audition	ઓડિશન	audition
auflage	auflage	auflage
auguste	ઓગસ્ટ	auguste
