$	dollar təşkil edib	a sign of doller
+	+	+
=	=	equal to
==	==	==
===	===	===
>	&gt;	"mathematical sign for denoting ""greater than"""
|	|	|
°	°	digree
×	×	into
λ	λ	lambda-a greek alfabet
इतिहास	tarix	history [hindi word]
और	və	and
का	of	of
की	of	's [hindi word]
के	k.	's, of [hindi word]
गया	getdi	went on [hindi word]
में	in	in [hindi]
है	edir	is there [hindi word]
ઃ	düşmək	symbol
અ	a	a
અંક	problem	number
અંકલેશ્વર	ankleshwar	ankleshwar
અંકુશ	nəzarət	control
અંકુશિત	i̇darə olunur	controlled
અંકુશો	nəzarət	control
અંકો	rəqəmlər	edition
અંગ	orqan	part
અંગત	şəxsi	private / personal
અંગીકાર	qəbul	to change religion
અંગે	haqqında	about
અંગેના	haqqında	regarding
અંગેની	haqqında	about
અંગેનું	of	about
અંગેનો	haqqında	about
અંગો	orqanlar	parts
અંગ્રજોના	i̇ngilislərin	of british
અંગ્રેજ	i̇ngilis	foreigner
અંગ્રેજ઼ી	i̇ngilis	english
અંગ્રેજી	i̇ngilis	english
અંગ્રેજીના	i̇ngilis dilindən	of english
અંગ્રેજીનાં	i̇ngilis dilindən	of english
અંગ્રેજીની	i̇ngilis dilindən	of english
અંગ્રેજીનું	i̇ngilis dilindən	english
અંગ્રેજીને	i̇ngilis	to english
અંગ્રેજીનો	i̇ngilis dilindən	of the english
અંગ્રેજીમાં	i̇ngiliscə	in the english
અંગ્રેજીમાંથી	i̇ngilis dilindən	from english
અંગ્રેજો	ingilis	britishers
અંગ્રેજોએ	ingilis	foreigners
અંગ્રેજોના	i̇ngilislərin	britisher's
અંગ્રેજોની	i̇ngilislərin	britisher
અંગ્રેજોને	i̇ngilislərə	to the british
અંજાર	anjar	anjar [name of a city]
અંત	son	at the end
અંતમાં	gec	in the end
અંતર	məsafə	distance
અંતરના	məsafədən	distance
અંતરની	məsafədən	distance
અંતરાલ	aralıq	interval
અંતરિયાળ	daxili	internal
અંતરે	məsafədə	distance
અંતર્ગત	daxili	included
અંતિમ	son	final
અંતે	sonda	at last
અંદર	i̇çəri	inside
અંદરથી	i̇çəridən	inner
અંદરના	i̇çəri	inner
અંદરની	i̇çəri	inside
અંદાજ	təxmini	approx
અંદાજિત	təxmini	approximate
અંદાજે	təxminən	approximate
અંદાજો	təxmini	estimates
અંદાઝ	təxmini	andaaz
અંદામાન	andaman	andaman
અંધ	kor	blind
અંબા	amba	amba
અંબાજી	ambaji	ambaji
અંબાણી	ambani	ambani
અંબાણીએ	ambani	by ambani
અંબાણીની	ambani	ambani's
અંબાલિકા	ambalika	ambalika
અંબિકા	ambika	ambika
અંશ	çıxarış	part
અંશતઃ	hissəsində	partly
અંશે	müəyyən dərəcədə	by percentage
અંશો	çıxarış	parts / particles
અંહી	burada	here
અંહીના	burada	this
અકબંધ	bütöv	intact
અકબર	əkbər	akbar
અકબરના	əkbərin	of akbar
અકબરે	əkbər	akbar
અકાદમી	akademiya	academy
અક્ષર	xarakter	letter
અક્ષરજ્ઞાન	savadlılıq	literacy
અક્ષરધામ	akshardham	akshardham
અક્ષરબ્રહ્મ	akşarbrahm	aksharbrahm
અક્ષરો	məktublar	letters
અક્ષાંશ	enlem	latitude
અખંડ	bütöv	intact
અખબાર	qəzet	newspaper
અખબારો	qəzetlər	news paper
અખાત	körfəz	gulf
અખિલ	axil	all
અગત્યતા	əhəmiyyəti	importance
અગત્યના	vacibdir	important
અગત્યની	vacibdir	important, of importance
અગત્યનું	vacibdir	important
અગત્યનો	vacibdir	important
અગાઉ	əvvəllər	previously
અગાઉથી	əvvəlcədən	from ahead
અગાઉના	əvvəlki	earlier
અગાઉની	əvvəlki	past
અગિયાર	on bir	eleven
અગ્નિ	atəş	fire
અગ્ની	atəş	fire
અગ્ર	ön cəbhə	or / principal
અગ્રગણ્ય	hər şeydən əvvəl	famous
અગ્રણી	aparıcı	front-runner / trialblazer
અગ્રેસર	aparıcı	leading
અઘરી	sərt	hard
અચાનક	qəflətən	suddenly
અચોક્કસ	qeyri-dəqiqdir	indefinite
અજ઼ીજ઼	azeezo	aziz [arabic written in gujarati script]
અજાણ	xəbərsiz	unknown
અજાણ્યા	qəriblər	stranger
અજાયબી	görəsən	wonder
અજાયબીઓ	möcüzələr	wonders
અજાયબીઓની	möcüzələr	of wonderful things
અજેય	yenilməz	unbrakable
અજોડ	unikal	uncomparable
અજ્ઞાત	naməlum	unknown
અજ્ઞાન	cahillik	unknown,
અટકાવવા	qarşısını almaq	to prevent
