$	dollarni tashkil etadi	dollarsign
+	+	+
=	=	=
>	&gt;	>
a	a	a
aa	aa	aa
aad	aad	aad
aan	yoqilgan	on
aanbevolen	tavsiya etiladi	featured
aanbidden	ibodat qilish	to worship
aanbieden	taklif qilmoq	kerstman
aanbod	taklif	offer/ demand
aanbrengen	murojaat qiling	apply
aandacht	diqqat	attention
aandeel	qismi	share
aandeelhouders	aksiyadorlar	shareholders
aandelen	ulushlar	shares
aandoening	shart	ailment
aandoeningen	kasalliklar	sicknesses
aandringen	turib olish	urge
aanduiding	belgilash	indication
aangeboden	taklif	offered
aangeboren	tug&#39;ma	congenital
aangebracht	qo&#39;llaniladi	attached
aangedaan	ta&#39;sir ko&#39;rsatdi	call in
aangedreven	quvvatlanadi	driven
aangeduid	ko&#39;rsatilgan	indicated
aangeeft	ko&#39;rsatadi	indicates
aangegeven	ko&#39;rsatilgan	indicated
aangehaald	iqtibos keltirdi	quote/ engage
aangekomen	keldi	arrived
aangekondigd	e&#39;lon qildi	announced
aangelegd	olib qo&#39;ymoq, yoymoq, olib ko&#39;rsatmoq	applied
aangelegde	peyzajlangan	landscaped
aangelegenheden	muhim	affairs
aangemerkt	belgilangan	regarded
aangemoedigd	rag&#39;batlantirildi	encouraged
aangenomen	qabul qilingan	accepted
aangepast	sozlangan	adapted
aangeraden	tavsiya etiladi	recommended
aangesloten	ulangan	connected
aangesteld	tayinlangan	appointed
aangetast	ta&#39;sir ko&#39;rsatdi	corroded
aangetoond	namoyish etdi	shown
aangetroffen	topildi	found
aangetrokken	jalb qilingan	attracted
aangevallen	hujum qildi	attacked
aangevoerd	qo&#39;ndi	delivered
aangevuld	qo&#39;shimcha qilingan	supplemented
aangewezen	tayinlangan	designated
aangezien	beri	as
aangrenzende	qo&#39;shni	adjoining
aanhang	izdoshlari	followers
aanhanger	romork	follower
aanhangers	izdoshlari	supporters
aanhoudende	qat&#39;iyatli	ongoing
aanklacht	ayblov xulosasi	accusation
aankomst	kelishi	arrival
aankoop	sotib olish	purchase
aanleg	moslik	construction
aanleiding	sabab	occasion
aanloop	tezroq yugur	run-up
aanmerkelijk	ahamiyatli	considerably
aanmerking	ko&#39;rib chiqish	consider
aannemen	olmoq	assume
aanpak	yondashuv	approach
aanpassen	sozlash uchun	adapt
aanpassing	moslashish	adjustment
aanpassingen	o&#39;zgartirishlar	adjustments
aanraking	teginish	touch
aanslag	hujum	assault
aanslagen	hujumlar	attacks
aansluiten	ulanmoq	join
aansluiting	ulanish	entry
aanspraak	talab	claim
aanstelling	tayinlash	appointment
aantal	raqam	amound
aantallen	raqamlar	numbers
aantonen	namoyish qilish	demonstrate
aantreden	lavozimga olish	make entry
aantrekkelijk	jozibali	appealing
aantrekken	jalb qilish	tighten
aantrekkingskracht	diqqatga sazovor joy	attraction
aanvaard	qabul qilindi	accepted
aanvaarden	qabul qiling	accept
aanval	hujum	attack
aanvallen	hujum qilmoq	attacks
aanvaller	tajovuzkor	attacker
aanvallers	tajovuzkorlar	attackers
aanvang	boshlanishi	started
aanvankelijk	boshida	at first
aanvankelijke	boshlang&#39;ich	initial
aanvaring	to&#39;qnashuv	collision
aanvoer	ta&#39;minoti	landing
