$	dollar təşkil edib	american dollar symbol
+	+	plus
<	&lt;	lesser than
<சீர்>	&lt;hamar&gt;	mend
<நிரை>	&lt;sıra&gt;	hirsels
<நேர்>	&lt;şəxs&gt;	straight
=	=	equal
==	==	headings
===	===	equal
>	&gt;	greater than
^	^	power symbol in maths
|	|	|
~	~	percent
 × 	×	multiplication
°	°	degree
α	α	a
λ	λ	a mathematical symbol
φ	φ	mesherment
ஃபயர்ஃபாக்ஸ்	firefox	fire fox
ஃபேஸ்புக்	facebook	facebook
ஃவீனால்	hvin	a chemaical name
அ	a	a
அ.கே.கே	suallar	below asked questions
அஇஅதிமுக	aiadmk	aiadmk
அகச்சிவப்பு	i̇nfraqırmızı	dark red
அகதிகள்	qaçqınlar	refugees
அகத்தியர்	adaçayı	agasthiyar
அகநானூறு	akananuru	ahananuru
அகம்	ağam	inside
அகர	əlifba sırası ilə	alphabetically
அகரமுதலி	vikipediya	alphabets
அகரம்	ağaram	agaram, a dictionary
அகரவரிசை	əlifba sırası ilə	alphabet
அகராதி	lüğət	dictionary
அகராதிகள்	lüğətlər	alphabets
அகற்ற	aradan qaldırılsın	remove
அகற்றி	silindi	destroy
அகலம்	genişlik	width
அகலாங்கு	latitude	latitude
அகழ்பொறி	akalpori	driller
அகஸ்ட்டஸ்	avqust	aghastas
அகிம்சை	zorakılıq	ahimsa, and non violence
அகில	hamısı	all india
அகிலத்தின்	beynəlxalq	of the world
அகிலத்திரட்டு	akilattirattu	a measurement
அகிலம்	beynəlxalq	world
அக்கட்சியின்	zimmermann	that party
அக்கறை	qayğı	other side bank
அக்கால	vaxt	during those days
அக்காலகட்டத்தில்	dövrdə	during that time
அக்காலத்தில்	o zaman,	at the time
அக்காலத்து	əlillər	during those days
அக்குபிரசர்	akkupiracar	acupuncture
அக்டோபர்	oktyabr	october
அக்பரின்	əkbərin	king
அக்பருக்கு	əkbər	to akbar
அக்பரை	əkbər	akbar
அக்பர்	əkbər	akbar
அங்கமாக	hissə	is a part
அங்கம்	element	part
அங்காரா	ankara	ankara
அங்கிருந்த	the	there
அங்கிருந்து	oradan	approve
அங்கீகரிக்கப்பட்ட	səlahiyyətlidir	authorised
அங்கீகாரம்	i̇dentifikasiyası	recognition
அங்கு	orada	there
அங்குள்ள	the	on that
அங்கூர்	ankur	angur
அங்கே	orada	there
அசல்	orijinaldır	original
அசாதாரண	qeyri-adi	extraordinary
அசாம்	assam	assam
அசினின்	asin	asin
அசின்	çap et	asin
அசோகர்	aşoka	the king asoka
அச்	çap et	that
அச்சகம்	mətbuat	press
அச்சின்	çap et	axis of
அச்சில்	çap et	in axis
அச்சு	çap et	axis
அச்சுப்	çap et	print
அஜித்	ajith	ajith a name
அடக்கம்	dəfn olundu	included
அடக்கும்	bastırıcı	contains
அடங்கிய	tərkibində	consisting, based
அடங்கியுள்ள	tərkibində	with
அடங்கியுள்ளது	tərkibində	contains
அடங்கியுள்ளன	daxildir	included
அடங்குகின்றன	bunlara daxildir	included
அடங்கும்	daxildir	included
அடங்குவர்	o cümlədən	including
அடர்த்தி	sıxlıq	volume
அடர்த்தியான	qalın	dark
அடி	addım	feet
அடிகள்	addımlar	hits
அடிக்கடி	tez-tez	often
அடிக்குறிப்புகளும்	alt altlıqlar	footnotes
அடிப்படை	əsas	fundamental
அடிப்படைகள்	əsaslar	fundamentals
அடிப்படைக்	əsas	fundamentally
அடிப்படைத்	əsas	fundamentally
அடிப்படைப்	əsas	basic of
அடிப்படையாகக்	yandır	based on the
அடிப்படையாகும்	əsasdır	is the fundamental
அடிப்படையான	əsas	fundamentally
அடிப்படையிலான	əsaslıdır	basics
அடிப்படையிலும்	basis	fundamentals
அடிப்படையிலேயே	əsasən	basically
அடிப்படையில்	əsasən	fundamentally
அடிமை	addict	slave
அடிமைகளாக	köləlik	like slaves
அடிமைகள்	qullar	slaves
அடியில்	altında	under
அடுக்கு	qat	layer
அடுக்குகளில்	laylarda	layer
அடுக்குகள்	laylar	outer layers
அடுத்த	sonrakı	next
அடுத்தடுத்த	ardıcıl	next to next
அடுத்ததாக	sonrakı	next after
அடுத்தபடியாக	sonrakı	after
அடுத்து	sonrakı	next
அடைகிறது	çatır	is
அடைந்த	çatdı	got
அடைந்தது	çatdı	reach
அடைந்தன	çatdı	is reached
