$ tỉ	$ miliardo	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazia	a name
about	su	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	conti	account
aceh	aceh	(proper noun) aceh
achilles	achille	achilles
acia	acia	acia
acid	acido	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addison-wesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	avanzato	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afghanistan	afghanistan
africa	africa	(proper noun) africa
african	africano	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	che	who
ailen	ailen	ailen
aim	scopo	aim
air	aria	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	ako	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albania	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albione	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alessandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpi	alps
altai	altai	altai
always	sempre	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	ammina	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	ammoniaca	ammonium (n.)
amphitrite	anfitrite	(proper noun) amphitrite, a greek sea goddess
an	sicurezza	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolia	anatolia
andalusia	andalusia	andalusia
andaman	andamane	andaman
anderson	anderson	anderson
andes	ande	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosassone	anglo-saxon
anh	voi	english
anhmỹ	anhmy	"(term should be ""anh mỹ"") english or american"
anhpháp	signor francia	england-france
ankara	ankara	ankara
ankyl	alchil	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anortosite	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	qualsiasi	any
anđêhít	aldeide	aldehydes
ao	stagno	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	mela	apple
aquinas	aquino	a name
arab	arabo	(proper noun) arab
archetypal	archetipo	archetypal
archive	archivio	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentina	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arias	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristotele	aristotle
arizona	arizona	arizona, as in the state
ark	arca	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenia	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenale	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	cenere	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asia	asia
asm	asm	asm
asoka	asoka	asoka
association	associazione	association
assyria	assiro	assyria
aston	aston	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantico	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	audizione	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australia	(proper noun) australia
austria	austria	(proper noun) the country of austria
austrian	austriaco	austrian
avar	avar	a name
aviation	aviazione	aviation
awad	awad	awad
award	premio	award
axit	acido	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	azerbaijan	(proper noun) azerbaijan
aztec	azteco	aztec, as in the aztec people (adj.)
ba	tre	three
babylon	babilonia	babylon
bacon	bacon	bacon
baden	baden	baden
baghdad	baghdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrain	bahrain
baháí	bahai	bahai
balearic	baleari	balearic
bali	bali	bali
balkan	balcanico	(proper adjective) balkan
balkans	balcani	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	reparto	the
bang	stati	state
banh	palla	ball
banner	bandiera	banner
bantam	gallo	bantam
bantu	bantù	bantu
bao	borsa	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barberia	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barocco	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	barioni	baryon
barça	barça	(proper noun) barca
base	base	base
basel	basilea	basel, a city in switzerland
basil	basilico	basil
baskervilles	baskervilles	baskervilles
bass	spigola	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	volare	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basalto	basalt (n.)
bazơ	basi	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	comitato centrale	central executive
beat	battito	beat
beatles	beatles	the beatles
beauty	bellezza	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	dietro	behind
beijing	pechino	beijing
bel	bel	bel
bell	campana	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedetto	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benzoino	(proper noun) benjamin
bennington	bennington	bennigton
berber	berbero	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	meglio	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	birra	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	fattura	(proper noun) bill, as in former president bill clinton
billy	manganello	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	record	bien
biếc	blu oltremare	a bluish-green color (adj.)
biếm	caricature	"(term should be ""biếm họa"") cartoon (n.)"
biến	variabile	other
biếng	pigro	lose interest in
biếu	offerta	present
biều	tavoli e	bieu
biển	il mare	ocean
biểuthứcđiềukiện	conoscere le condizioni	conditional expression
biện	misure	"(term should be ""biện pháp"") a method (n.)"
biệt	speciale	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	peso	bob
bobby	poliziotto	bobby, as in bobby day
boeing	boeing	boeing
bohemia	boemia	bohemia
bolivia	bolivia	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bomba	bomb
bonaparte	bonaparte	bonaparte
bong	bolla	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	booleano	(proper adjective) boolean, as in boolean algebra
boom	boom	boom
boong	ponte	a deck (n.)
boongke	carbonile	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnia	(proper noun) bosnia
botswana	botswana	botswana
bottom	fondo	bottom
boulder	masso	boulder
bourbon	bourbon	bourbon
boxing	boxe	boxing
brain	cervello	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brasile	brazil
bremen	brema	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	bretone	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	breznev	brezhnev
brian	brian	a name
bridge	ponte	bridge
britannic	britannico	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	marrone	brown
browne	browne	browne
browning	doratura	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	bruxelles	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgaria	bulgaria
bulletin	bollettino	thong bao
bungary	bulgaro	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	mettere a tacere	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	birmania	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	colbacco	busby
bush	cespuglio	bush
bushy	bushy	bushy
buôn	traffico	commerce
buông	lascia andare	to release, to let loose
buýt	autobus	bus
buốt	molto entusiasta	sharp
buồm	vela	sail
buồn	triste	sad
buồng	armadietto	chamber
buổi	giorno	session
byzantine	bizantino	byzantine
bà	lei	woman or lady (n.)
bài	messaggi	articles
bàn	tavolo	table
bàng	aquila	eagle
bành	imballare	armchair
bào	cella	compatriot
bàu	bau	bau
bày	regali	"(term should be ""trưng bày"") to display (v.)"
bác	zio	doctor
bách	cipresso	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	culto	to bow (v.)
bám	aggrapparsi	cling
bán	vendita	sell
báng	groppa	"(term should be ""phỉ báng"") to defame or slander"
báo	giornale	newspaper (n.)
bát	ciotola	eight (n.)
báu	tesoro	valuable
bây	ora	now
bã	feccia	"(term should be ""buồn bã"") sad (adj.)"
bãi	parco	beach
bão	tempesta	storm
bèn	poi	then
bé	piccolo	baby
bén	affilato	sharp (adj.)
béo	grasso	fat
bên	lato	side
bênh	difeso	advocate
bì	imballaggio	foreskin (n.)
bìa	copertura	cover
bìu	scroto	sac (n.)
bí	zucca	secret
bính	pinyin	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	bíró	biro
bò	mucca	beef
bó	grappolo	bound (adj.)
bói	cartomanzia	to foretell (v.)
bón	fertilizzante	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	la palla	sphere or ball
bóp	spremere	squeeze
bô	vasino	"(term should be ""bôxit"") the mineral bauxite"
bôi	schiuma	to apply (as in oil)
bông	di cotone	flower
bù	truccare	compensate
bùa	amuleto	talisman
bùn	fango	mud
