$ tỉ	$ พันล้าน	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	อับคาเซีย	a name
about	เกี่ยวกับ	about
abraham	อับราฮัม	abraham
abrams	อับราฮัม	abrams
abscbn	abscbn	abscbn
account	บัญชี	account
aceh	อาเจะห์	(proper noun) aceh
achilles	ร้อยหวาย	achilles
acia	acia	acia
acid	กรด	acid
ada	ada	ada
adams	อดัมส์	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	อะโดบี	adobe
adrian	เอเดรีย	(proper noun) adrian
adsl	adsl	adsl
advanced	สูง	advanced
aedes	ยุงลาย	aedes
aegypti	ลูกน้ำยุงลาย	aegypti
aero	อากาศ	(proper noun) aero, as in the aero l-39 albatros jet
afc	เอเอฟซี	afc
aff	aff	aff
afghanistan	อัฟกานิสถาน	afghanistan
africa	แอฟริกา	(proper noun) africa
african	แอฟริกัน	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	อากัสซี่	agassi
ai	ใคร	who
ailen	ailen	ailen
aim	จุดมุ่งหมาย	aim
air	อากาศ	air
airbus	แอร์บัส	airbus
aisne	aisne	aisne
ajax	อาแจ็กซ์	ajax
ak	อลาสกา	ak
akatsuki	แสงอุษา	akastuki
akms	akms	akms
akô	ako	ako
al	อัล	al
alabama	อลาบามา	alabama
alaska	มลรัฐอะแลสกา	alaska
albania	แอลเบเนีย	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	อัลเบิร์	(proper noun) albert
alberto	อัลแบร์โต	(proper noun) alberto
albion	อัลเบียน	albion, an ancient name for great britain
albuquerque	เคอร์กี	albuquerque
albus	อัลบัส	albus
alexa	alexa	alexa
alexandra	อเล็กซาน	alexandra
alexandria	ซานเดรีย	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	อัลเฟรด	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	อลิซ	this is a name
allan	อัลลัน	(proper noun) allan, as in edgar allan poe
allen	อัลเลน	(proper noun) allen
allmusic	ออล	allmusíc
alois	alois	alois
alonso	อลอนโซ่	alonso
alpher	alpher	(proper noun) alpher
alps	ภูเขาแอลป์	alps
altai	อัลไต	altai
always	เสมอ	luon luon
amaravati	amaravati	amaravati
amazon	อเมซอน	amazon
amdo	อัมโด	(proper noun) amdo
ame	ame	ame
ami	อามิ	ami
amiens	อาเมียงส์	amiens
amin	เอมีน	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	สารแอมโมเนีย	ammonium (n.)
amphitrite	มหาสมุทร	(proper noun) amphitrite, a greek sea goddess
an	ความปลอดภัย	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	อนาโตเลีย	anatolia
andalusia	ดาลูเซีย	andalusia
andaman	อันดามัน	andaman
anderson	เดอร์สัน	anderson
andes	แอนดีส	andes
andorra	อันดอร์รา	andorra
andrew	แอนดรู	andrew
andré	andré	andre, as in andre morval
andy	แอนดี้	(proper noun) andy, as in andy warhol
anfield	แอนฟิลด์	anfield
ang	อ่างทอง	ang
angkor	อังกอร์	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	anglosaxon	anglo-saxon
anh	คุณ	english
anhmỹ	anhmy	"(term should be ""anh mỹ"") english or american"
anhpháp	นายฝรั่งเศส	england-france
ankara	อังการา	ankara
ankyl	อัลคิล	ankly
anna	แอนนา	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	อันนัน	annan
anne	แอนน์	anne, a name
anorthosit	anorthosite	anorthosit, a type of igneous rock (n.)
anthony	แอนโทนี่	anthony
antigua	แอนติกา	(proper noun) antigua
anton	anton	anton
antonov	โทนอฟ	antonov
any	ใด	any
anđêhít	ลดีไฮด์	aldehydes
ao	บ่อน้ำ	pond
aotearoa	รัว	aotearoa
apollo	อพอลโล	apollo
apple	แอปเปิล	apple
aquinas	สควีนา	a name
arab	อาหรับ	(proper noun) arab
archetypal	ตามแบบฉบับ	archetypal
archive	เก็บ	archive
arctan	arctan	a function
ares	ares	ares
argentina	อาร์เจนตินา	(proper noun) the south american nation of argentina
argo	argo	argo
arias	อาเรีย	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	อริสโตเติล	aristotle
arizona	อาริโซน่า	arizona, as in the state
ark	เรือ	ark
arkansas	อาร์คันซอ	arkansas
arlington	อาร์ลิงตัน	(proper noun) arlington
armenia	อาร์เมเนีย	(proper noun) armenia
armstrong	อาร์มสตรอง	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	อาร์โนล	arnold
arsenal	คลังแสง	arsenal
artemis	อาร์ทิมิส	(proper noun) artemis, the greek goddess of the hunt
aruba	อารูบา	aruba
arunachal	อรุณาจัล	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	เรียง	asc
ash	เถ้า	a name
ashikaga	อาชิคางะ	ashikaga
ashley	แอชลีย์	(proper noun) ashley
asia	เอเชีย	asia
asm	asm	asm
asoka	อโศก	asoka
association	สมาคม	association
assyria	ชาวแอสซีเรีย	assyria
aston	แอสตัน	(proper noun) aston, as in aston villa
atkinson	แอตกินสัน	atkinson
atlanta	แอตแลนต้า	atlanta
atlantic	มหาสมุทรแอตแลนติก	atlantic
aua	เอยูเอ	aua
aubrac	aubrac	aubrac
audition	การได้ยิน	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	ออสเตรเลีย	(proper noun) australia
austria	ออสเตรีย	(proper noun) the country of austria
austrian	ชาวออสเตรีย	austrian
avar	วาร์	a name
aviation	การบิน	aviation
awad	awad	awad
award	รางวัล	award
axit	กรด	acid
ayeyarwady	อิระวดี	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	พระนครศรีอยุธยา	(proper noun) ayutthaya
azerbaijan	อาเซอร์ไบจาน	(proper noun) azerbaijan
aztec	แอซเท็ก	aztec, as in the aztec people (adj.)
ba	สาม	three
babylon	นครใหญ่	babylon
bacon	เบคอน	bacon
baden	baden	baden
baghdad	กรุงแบกแดด	(proper noun) baghdad
bago	หงสาวดี	bago
bahamas	บาฮามาส	bahamas
bahrain	บาห์เรน	bahrain
baháí	bahai	bahai
balearic	แบลีแอริก	balearic
bali	บาหลี	bali
balkan	บอลข่าน	(proper adjective) balkan
balkans	แหลมบอลข่าน	balkans
ballard	บัลลาร์ด	ballard
bamar	bamar	bamar
ban	แผนก	the
bang	รัฐ	state
banh	ลูกบอล	ball
banner	ธง	banner
bantam	ไก่แจ้	bantam
bantu	เกี่ยวกับแบนทู	bantu
bao	กระเป๋า	bao giờ= ever
barack	บารัก	barack
barak	barak	barak
barbados	บาร์เบโดส	(proper noun) barbados
barbara	บาร์บาร่า	barbara
barbary	บาร์บารี	barbary
barca	barca	barca
barnes	บาร์นส์	barnes
barone	บารอน	barone
baroque	ตามแบบบะโรค	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	เชลโล่	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryons	baryon
barça	บาร์ซา	(proper noun) barca
base	ฐาน	base
basel	บาเซิล	basel, a city in switzerland
basil	โหระพา	basil
baskervilles	baskervilles	baskervilles
bass	เสียงทุ้ม	bass
bator	อูลานบาตอร์	bator
battambang	พระตะบอง	battambang
bauer	บาวเออร์	bauer
bay	บิน	"(should be ""tuyến bay"") an airline"
bayern	บาเยิร์น	bayern
bazan	หินบะซอล	basalt (n.)
bazơ	ฐาน	base
bb	bb	bb
bbc	บีบีซี	bbc
bc	ก่อนคริสต์ศักราช	bc
bchtư	คณะกรรมการกลาง	central executive
beat	จังหวะ	beat
beatles	บีทเทิล	the beatles
beauty	ความงาม	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	เบ็คแฮม	beckam
bedloe	bedloe	bedloe
beethoven	เบโธเฟ่น	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	หลัง	behind
beijing	ปักกิ่ง	beijing
bel	เบล	bel
bell	ระฆัง	bell
bella	เบลล่า	bella
bellatrix	bellatrix	bellatrix
benedict	เบเนดิกต์	benedict
benetton	benetton	benetton
benfica	เบนฟิกา	benfica
benito	เบนิโต	benito
benjamin	เบนจามิน	(proper noun) benjamin
bennington	เบนนิงตัน	bennigton
berber	เบอร์เบอร์	berber
bergen	เบอร์เกน	(proper noun) bergen
berger	เบอร์เกอร์	berger
bering	แบริ่ง	(proper noun) bering, as in the bering strait
berkeley	เบิร์กลีย์	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	เบอร์มิวดา	(proper noun) bermuda
bernard	เบอร์นาร์ด	bernard
bertrand	เบอร์ทรานด์	bertrand
better	ดีกว่า	better
betty	เบ็ตตี้	betty
bhutan	ภูฏาน	bhutan
bia	เบียร์	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	บิกินี่	bikini
bill	บิล	(proper noun) bill, as in former president bill clinton
billy	กาต้มน้ำ	billy
bismarck	บิสมาร์ก	bismarck, as in otto von bismarck
bitmap	บิตแมป	bitmap
biên	บันทึก	bien
biếc	สีฟ้าเข้ม	a bluish-green color (adj.)
biếm	การ์ตูน	"(term should be ""biếm họa"") cartoon (n.)"
biến	ตัวแปร	other
biếng	สันหลังยาว	lose interest in
biếu	เสนอ	present
biều	ตารางและ	bieu
biển	ทะเล	ocean
biểuthứcđiềukiện	รู้เงื่อนไข	conditional expression
biện	มาตรการ	"(term should be ""biện pháp"") a method (n.)"
biệt	พิเศษ	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	แบลร์	blair
blaise	เบลส	blaise
blanc	สีขาว	blanc
blues	เพลงบลูส	blues
bo	bo	a curl, as in a biceps curl exercise
bob	ผมบ๊อบ	bob
bobby	พลตำรวจ	bobby, as in bobby day
boeing	โบอิ้ง	boeing
bohemia	ตำบลโบฮีเมีย	bohemia
bolivia	โบลิเวีย	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	วางระเบิด	bomb
bonaparte	มหาราช	bonaparte
bong	ฟอง	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	บูล	bool
boolean	บูล	(proper adjective) boolean, as in boolean algebra
boom	ความเจริญ	boom
boong	สำรับ	a deck (n.)
boongke	ที่ใส่ถ่านหิน	bunker
bop	ตะบัน	bop
boris	บอริส	boris
borland	บอร์แลนด์	(proper noun) borland
borussia	โบรุสเซี	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	โบส์	(proper noun) bosnia
bosnia	มณฑลบอสเนีย	(proper noun) bosnia
botswana	บอตสวานา	botswana
bottom	ก้น	bottom
boulder	หิน	boulder
bourbon	บูรบอง	bourbon
boxing	มวย	boxing
brain	สมอง	brain
brandenburg	บรันเดนบู	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	บราซิล	brazil
bremen	เบรเมน	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	เกี่ยวกับเบรตอน	(proper noun) breton
bretton	เบรตตัน	hoi nghi
brezhnev	เบรจเน	brezhnev
brian	ไบรอัน	a name
bridge	สะพาน	bridge
britannic	เกี่ยวกับอังกฤษ	(proper noun) britannic
britney	บริทนี	britney
brooklyn	บรูคลิ	brooklyn
brot	brot	this is german not vietnamese
brown	สีน้ำตาล	brown
browne	บราวน์	browne
browning	ปืนบราวนิง	(proper noun) browning
bruce	บรูซ	bruce
brunei	บรูไน	brunei
bruno	บรูโน่	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
