$ tỉ	milliarden dollar	$ billion
abc	abc	abc
abdul	abdul	abdul
abkhazia	abkhazia	a name
about	über	about
abraham	abraham	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	konto	account
aceh	aceh	(proper noun) aceh
achilles	achilles	achilles
acia	acia	acia
acid	säure	acid
ada	ada	ada
adams	adams	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	adobe	adobe
adrian	adrian	(proper noun) adrian
adsl	adsl	adsl
advanced	fortgeschritten	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	aero	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	afghanistan	afghanistan
africa	afrika	(proper noun) africa
african	afrikanisch	african
ag	ag	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	wer	who
ailen	irisch	ailen
aim	zielen	aim
air	luft	air
airbus	airbus	airbus
aisne	aisne	aisne
ajax	ajax	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	hallo	ako
al	al	al
alabama	alabama	alabama
alaska	alaska	alaska
albania	albanien	albania
albatros	albatros	(proper noun) albatros, as in the aero l-39 albatros
albert	albert	(proper noun) albert
alberto	alberto	(proper noun) alberto
albion	albion	albion, an ancient name for great britain
albuquerque	albuquerque	albuquerque
albus	albus	albus
alexa	alexa	alexa
alexandra	alexandra	alexandra
alexandria	alexandria	alexandria
alexandros	alexandros	alexandros
alexey	alexey	alexey
alfred	alfred	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	ali	ali
alice	alice	this is a name
allan	allan	(proper noun) allan, as in edgar allan poe
allen	allen	(proper noun) allen
allmusic	allmusic	allmusíc
alois	alois	alois
alonso	alonso	alonso
alpher	alpher	(proper noun) alpher
alps	alpen	alps
altai	altai	altai
always	immer	luon luon
amaravati	amaravati	amaravati
amazon	amazon	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	ami	ami
amiens	amiens	amiens
amin	amin	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	ammoniak	ammonium (n.)
amphitrite	amphitrit	(proper noun) amphitrite, a greek sea goddess
an	an	"(should be ""an toàn"") safe"
anand	anand	anand
anata	anata	anata
anatolia	anatolie	anatolia
andalusia	andalusien	andalusia
andaman	andaman	andaman
anderson	anderson	anderson
andes	anden	andes
andorra	andorra	andorra
andrew	andrew	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	angelsächsisch	anglo-saxon
anh	ihn	english
anhmỹ	briten	"(term should be ""anh mỹ"") english or american"
anhpháp	herr frankreich	england-france
ankara	ankara	ankara
ankyl	ankyl	ankly
anna	anna	anna
annam	annam	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	anthony	anthony
antigua	antigua	(proper noun) antigua
anton	anton	anton
antonov	antonov	antonov
any	beliebig	any
anđêhít	aldehyd	aldehydes
ao	teich	pond
aotearoa	aotearoa	aotearoa
apollo	apollo	apollo
apple	apfel	apple
aquinas	aquin	a name
arab	arab	(proper noun) arab
archetypal	archetypisch	archetypal
archive	archiv	archive
arctan	arctan	a function
ares	ares	ares
argentina	argentinien	(proper noun) the south american nation of argentina
argo	argo	argo
arias	arien	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	aristoteles	aristotle
arizona	arizona	arizona, as in the state
ark	arche	ark
arkansas	arkansas	arkansas
arlington	arlington	(proper noun) arlington
armenia	armenisch	(proper noun) armenia
armstrong	armstrong	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	arnold	arnold
arsenal	arsenal	arsenal
artemis	artemis	(proper noun) artemis, the greek goddess of the hunt
aruba	aruba	aruba
arunachal	arunachal	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	asche	a name
ashikaga	ashikaga	ashikaga
ashley	ashley	(proper noun) ashley
asia	asien	asia
asm	asm	asm
asoka	asoka	asoka
association	verein	association
assyria	assyrien	assyria
aston	erstaunen	(proper noun) aston, as in aston villa
atkinson	atkinson	atkinson
atlanta	atlanta	atlanta
atlantic	atlantisch	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	vorsprechen	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	australien	(proper noun) australia
austria	österreich	(proper noun) the country of austria
austrian	österreichisch	austrian
avar	avar	a name
aviation	luftfahrt	aviation
awad	awad	awad
award	auszeichnung	award
axit	säure	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	ayumi	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	aserbaidschan	(proper noun) azerbaijan
aztec	aztekisch	aztec, as in the aztec people (adj.)
ba	drei	three
babylon	babylon	babylon
bacon	speck	bacon
baden	baden	baden
baghdad	bagdad	(proper noun) baghdad
bago	bago	bago
bahamas	bahamas	bahamas
bahrain	bahrain	bahrain
baháí	baháí	bahai
balearic	balearisch	balearic
bali	bali	bali
balkan	balkan	(proper adjective) balkan
balkans	balkans	balkans
ballard	ballard	ballard
bamar	bamar	bamar
ban	verbot	the
bang	knall	state
banh	ball	ball
banner	banner	banner
bantam	zwerghuhn	bantam
bantu	bantu	bantu
bao	sack	bao giờ= ever
barack	barack	barack
barak	barak	barak
barbados	barbados	(proper noun) barbados
barbara	barbara	barbara
barbary	barbary	barbary
barca	barca	barca
barnes	barnes	barnes
barone	barone	barone
baroque	barock	baroque
barquin	barquin	barquin, as in ramon barquin, the cuban military colonel
barrichello	barrichello	barrichello
bartholdi	bartholdi	bartholdi
baryon	baryon	baryon
barça	barça	(proper noun) barca
base	basis	base
basel	basel	basel, a city in switzerland
basil	basilikum	basil
baskervilles	baskervilles	baskervilles
bass	bass	bass
bator	bator	bator
battambang	battambang	battambang
bauer	bauer	bauer
bay	fliegen	"(should be ""tuyến bay"") an airline"
bayern	bayern	bayern
bazan	basalt	basalt (n.)
bazơ	grundlegend	base
bb	bb	bb
bbc	bbc	bbc
bc	bc	bc
bchtư	bchtư	central executive
beat	schlagen	beat
beatles	beatles	the beatles
beauty	schönheit	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	becker	(proper noun) becker
beckham	beckham	beckam
bedloe	bedloe	bedloe
beethoven	beethoven	beethoven
beethovens	beethovens	beethoven's
beginbmatrix	beginbmatrix	this is a code
behind	dahinter	behind
beijing	peking	beijing
bel	bel	bel
bell	glocke	bell
bella	bella	bella
bellatrix	bellatrix	bellatrix
benedict	benedikt	benedict
benetton	benetton	benetton
benfica	benfica	benfica
benito	benito	benito
benjamin	benjamin	(proper noun) benjamin
bennington	bennington	bennigton
berber	berber	berber
bergen	bergen	(proper noun) bergen
berger	berger	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	berkeley	(proper noun) the city of berkeley, california
berman	berman	a name
bermuda	bermuda	(proper noun) bermuda
bernard	bernard	bernard
bertrand	bertrand	bertrand
better	besser	better
betty	betty	betty
bhutan	bhutan	bhutan
bia	bier	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	bikini	bikini
bill	rechnung	(proper noun) bill, as in former president bill clinton
billy	billy	billy
bismarck	bismarck	bismarck, as in otto von bismarck
bitmap	bitmap	bitmap
biên	grenze	bien
biếc	blaugrün	a bluish-green color (adj.)
biếm	nachlässig	"(term should be ""biếm họa"") cartoon (n.)"
biến	variabel	other
biếng	faul	lose interest in
biếu	mit freundlicher genehmigung	present
biều	bieu	bieu
biển	das meer	ocean
biểuthứcđiềukiện	kenne die bedingungen	conditional expression
biện	entschuldige dich	"(term should be ""biện pháp"") a method (n.)"
biệt	deutlich	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	blackwell	this is a name
blair	blair	blair
blaise	blaise	blaise
blanc	blanc	blanc
blues	blues	blues
bo	bo	a curl, as in a biceps curl exercise
bob	bob	bob
bobby	bobby	bobby, as in bobby day
boeing	boeing	boeing
bohemia	böhmen	bohemia
bolivia	bolivien	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	bombe	bomb
bonaparte	bonaparte	bonaparte
bong	bong	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	bonnal	bonnal
bonobo	bonobo	bonono
bool	bool	bool
boolean	boolescher wert	(proper adjective) boolean, as in boolean algebra
boom	boom	boom
boong	deck	a deck (n.)
boongke	bunker	bunker
bop	bop	bop
boris	boris	boris
borland	borland	(proper noun) borland
borussia	borussia	borussia
bose	bose	bose, as in subhas chandra bose
boseeinstein	boseeinstein	bose einstein
bosna	bosna	(proper noun) bosnia
bosnia	bosnien	(proper noun) bosnia
botswana	botswana	botswana
bottom	unten	bottom
boulder	felsbrocken	boulder
bourbon	bourbon	bourbon
boxing	boxen	boxing
brain	gehirn	brain
brandenburg	brandenburg	(proper noun) brandenburg
brandt	brandt	brandt
braun	braun	braun
brazil	brasilien	brazil
bremen	bremen	bremen, as in the bremen bank
brestlitovsk	brestlitovsk	brest-litovsk
breton	bretonisch	(proper noun) breton
bretton	bretton	hoi nghi
brezhnev	breschnew	brezhnev
brian	brian	a name
bridge	brücke	bridge
britannic	britannisch	(proper noun) britannic
britney	britney	britney
brooklyn	brooklyn	brooklyn
brot	brot	this is german not vietnamese
brown	braun	brown
browne	browne	browne
browning	bräunung	(proper noun) browning
bruce	bruce	bruce
brunei	brunei	brunei
bruno	bruno	bruno, as in the city of san bruno
brusilov	brusilov	brusilov
brussels	brüssel	brussels, the capital of belgium
btr	btr	btr
bubalis	bubalis	bubalis
budapest	budapest	budapest, the capital of hungary
bulgaria	bulgarien	bulgaria
bulletin	bulletin	thong bao
bungary	bungary	bungary
bungo	bungo	bungo
buonaparte	buonaparte	(proper noun) buonaparte, as in casa buonaparte
burke	burke	(proper noun) burke, as in edmund burke
burkina	burkina	burkina
burma	burma	burma
burundi	burundi	burundi
busan	busan	a korean city
busby	busby	busby
bush	busch	bush
bushy	buschig	bushy
buôn	großhandel	commerce
buông	lass los	to release, to let loose
buýt	bus	bus
buốt	kalt	sharp
buồm	segel	sail
buồn	traurig	sad
buồng	kammer	chamber
buổi	sitzung	session
byzantine	byzantinisch	byzantine
bà	großmutter	woman or lady (n.)
bài	post	articles
bàn	tabelle	table
bàng	adler	eagle
bành	peng	armchair
bào	hobeln	compatriot
bàu	bau	bau
bày	präsentation	"(term should be ""trưng bày"") to display (v.)"
bác	onkel	doctor
bách	zypresse	"(term should be ""bách khoa"") polytechnic (adj.)"
bái	kult	to bow (v.)
bám	klammern	cling
bán	verkauft	sell
báng	lager	"(term should be ""phỉ báng"") to defame or slander"
báo	zeitung	newspaper (n.)
bát	schüssel	eight (n.)
báu	schatz	valuable
bây	jetzt	now
bã	rückstand	"(term should be ""buồn bã"") sad (adj.)"
bãi	meter	beach
bão	sturm	storm
bèn	dann	then
bé	baby	baby
bén	scharf	sharp (adj.)
béo	fett	fat
bên	party	side
bênh	krank	advocate
bì	verpackung	foreskin (n.)
bìa	abdeckung	cover
bìu	hodensack	sac (n.)
bí	squash	secret
bính	binh	"(term should be ""bính âm"") romanized chinese words (n.)"
bíró	kürbis	biro
bò	kuh	beef
bó	haufen	bound (adj.)
bói	wahrsagerei	to foretell (v.)
bón	düngen	"entire term should be ""phan bon""; means ""fertilizer"""
bóng	der ball	sphere or ball
bóp	drücken	squeeze
bô	töpfchen	"(term should be ""bôxit"") the mineral bauxite"
bôi	verschmiert	to apply (as in oil)
bông	baumwolle	flower
