aajo	smešno	hospitality
aala	granica	border
aanu	saosećanje	compassion
aapon	oružje	bachelor or spinster (bachelorette)
aare	aare	president
aawe	paraliza	fasting
abala	dio	division
abeikojopo	nasljednica	subset
abeorile	povratak kući	nation
abesahara	posipati	under the sahara
abidi	abeceda	abidi
abidjan	ikada	abidjan
abo	ženstveno	security
aburunmu	naša gadost	reduced in value, diminished
abálájo	iskusan	that is why
abé	igla	under
abínibí	nacionalnost	inborn
abúléko	selo	village
accra	acra	accra
adaba	povoljno	factor
adabaye	u redu	previously-existing
adarihunrun	čistač	human
addis	addis	addis
adeda	priroda	creator
adiokan	usamljen	stubbornness
adágbà	stariji	adagba
adúgbò kútò	komšije na ulici	kuto area
adúgbò mókóla	sluznica mukole	mokola area
adúgbò quarry	kamenolomne komšije	neighborhood
adúgbò ìdí	susjedski razlozi	area
afida	porodica	element
afomo	na primjer	cleansing
afoyemo	sinopsis	abstract
africa	afrika	africa
african	afrički	ara afrika
africans	afrikanci	africans
aféfé	vjetrenjača	air
agba	boje	principal
agbado	kukuruz	maize
agbara	snage	power
agbaye	svijet	world
agbeinadie	poljoprivredno zemljište	semi-conductor
agbà	odrasla osoba	adult
agbàbò	zaštitnika	adopted child
agbára	snage	power
agbéiná	vatrogasac	conductor
agio	plakati	agio
aintimulo	aintimulo	un-exploited
aisi	nedostatak	lack
ajagun	pas	ajagun
aje	ekonomija	trade
ajemoroyin	ispitivanje	reporting
ajibola	dnevni red	ajibola
ajo	putovanje	firms
ajoro	putovanje	discussion
ajọra	replika	resemblance
akiidah	korida	(non-standard yoruba, this maybe from benin)
akinpelu	artiljerija	akinpelu
akokolo	period	period
akole	ne možemo	title
akoni	nemamo	teacher
akopa	prvo i najvažnije	participant
akopo	kompilacija	assembly
akátá	šakal	african american
akíkanjú	odvažan	courageous
akíngbógun	bataljona	akingbogun
akẹ́kọ̀ọ́	student	students
ala	dole	limit
alaabo	onesposobljeno	protection
alaadanida	neželjeno	individual
alaafia	mir	peace
alaafin	nelegitiman	alaafin
aladaani	privatni	privately-owned
aladani	privatni	self-owned
aladanida	proizvoljni	private
alaidogba	neuravnotežen	unequal
alaigbara	neodoljiva	neutron
alaini	u potrebi	the poor
alakitiyan	aktivista	activist
alakobere	novak	primary
alalaye	zemljani	explanatory
alawose	proricanje	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allāh	allah
alominira	nezavisnost	independent
alpha	alfa	alpha
alubàbá	otac	drummer
alukuraani	koran	quran
alumoni	kurativno	minerals
alumíníọ̀mù	aluminijum	aluminium
alákọ̀bẹ̀rẹ̀	inicijator	primary education
alápapò	zamjena	general
