$	usd	dollars
<	&lt;	<
 г	d	y. (year)
 година	gadā	year
 €	€	euro
­	­	-
°	°	degrees
°с	° s	degree celsius
π	π	pi
φ	φ	f
а	a	a
абдикира	abdikāti	abdicate
абридж	saīsināt	abridge
абритус	abritus	abrittus
абсолютна	absolūts	absolute
абсолютно	absolūti	absolutely
абу	abu	abu
абълин	abulīns	ablin
аварията	negadījums	breakdown
август	augusts	august
авиация	aviācija	aviation
авив	aviv	aviv
австралия	austrālija	australia
австрийска	austrietis	austrian
австрия	austrijā	austria
австроунгария	austrija-ungārija	austria-hungary
автобуси	autobusi	buss
автогара	autobusa pietura	bus station
автомагистрала	šoseja	motorway
автоматично	automātiski	automatic
автомобил	auto	automobile
автомобила	auto	car
автомобили	automašīnas	automobiles
автомобилите	automašīnas	cars
автономен	autonomi	self-governing
автономия	autonomija	autonomy
автономна	autonomi	autonomous
автономни	autonomi	autonomous
автор	autore	author
автора	autore	author
автори	autori	authors
авторите	autori	the autors
авторитет	autoritāte	authority
авторитета	autoritāte	authority
авторски	autortiesības	author's
авторът	autors	author
ага	jā	agha
агамемнон	agamemnons	agamemnon
агент	aģents	agent
агенти	aģenti	agents
агенция	aģentūra	agency
агенцията	aģentūra	the agency
агрипина	agrippina	agrippina
ад	no plkst	ad
адам	ādams	adam
адаптация	adaptācija	adaptation
адекватно	adekvāti	adequate
административен	administratīvā	administrative
административна	administratīvā	administrative
административната	administratīvā	the administrative
административни	administratīvā	administrative
административните	administratīvā	administrative
административно	administratīvi	administrative
администрация	administrācija	administration
администрацията	administrācija	administration
адолф	ādolfs	adolf
адрес	adrese	address
адреси	adreses	addresses
адрианопол	adrianople	adrianopol
адриатическо	adrijas jūra	adriatic
аз	es	i
азбука	alfabēts	alphabet
азбуката	alfabēts	alphabet
азбуки	alfabēti	alphabets
азбучен	alfabēta	alfabetic
азербайджан	azerbaidžāna	azerbaijan
азид	azīds	azide
азис	azis	azis
азия	āzija	asia
азот	slāpeklis	nitrogen
азотът	slāpeklis	nitrogen
айлънд	sala	island
айнщайн	einšteins	einstein
айнщайний	einšteins	ainsteinium
айрес	aires	aires
айсберг	aisbergs	iceberg
айфеловата	eifelis	eiffel
ак	ak	ak
акад	akad	prof.
академик	akadēmiķis	academician
академия	akadēmija	academy
академията	akadēmija	academy
ако	ja	if
акт	tēlot	act
активен	aktīvs	active
активи	aktīvi	assets
активите	aktīvi	assets
активна	aktīvs	active
активната	aktīvie	active
активни	aktīvs	active
активните	aktīvs	active
активно	aktīvs	actively
активност	aktivitāte	activity
активността	aktivitāte	activity
актове	akti	acts
актриса	aktrise	actress
актриси	aktrises	actresses
актуална	pašreizējais	current
актьор	aktieris	actor
актьори	aktieri	actors
ал	al	al
албания	albānija	albania
албански	albāņu	albanian
албанци	albāņi	albanians
албена	albena	albena
алберт	alberts	albert
албум	albumu	album
албума	albumu	album
албуми	albumus	album
албумът	albumu	album
алгоритъм	algoritms	algorithm
алдехид	aldehīds	aldehyde
александрия	aleksandrija	alexandria
