aajo	হাস্যকর	hospitality
aala	সীমান্ত	border
aanu	সমবেদনা	compassion
aapon	আপন	bachelor or spinster (bachelorette)
aare	aare	president
aawe	পক্ষাঘাত	fasting
abala	অংশ	division
abeikojopo	উত্তরাধিকারী	subset
abeorile	স্বদেশ প্রত্যাবর্তন	nation
abesahara	ছিটিয়ে দেয়া	under the sahara
abidi	বর্ণমালা	abidi
abidjan	চিরকাল	abidjan
abo	নারী সংক্রান্ত	security
aburunmu	আমাদের ঘৃণা	reduced in value, diminished
abálájo	অভিজ্ঞ	that is why
abé	সুই	under
abínibí	জাতীয়তা	inborn
abúléko	গ্রাম	village
accra	আক্রা	accra
adaba	সুবিধাজনক	factor
adabaye	ঠিক আছে	previously-existing
adarihunrun	পরিষ্কারক	human
addis	আদ্দিস	addis
adeda	প্রকৃতি	creator
adiokan	নির্জন	stubbornness
adágbà	অগ্রজ	adagba
adúgbò kútò	রাস্তায় প্রতিবেশীরা	kuto area
adúgbò mókóla	মিউকোলা মিউকোসা	mokola area
adúgbò quarry	কোয়ার প্রতিবেশীরা	neighborhood
adúgbò ìdí	পাড়ার কারণ	area
afida	পরিবার	element
afomo	উদাহরণ স্বরূপ	cleansing
afoyemo	সংক্ষিপ্তসার	abstract
africa	আফ্রিকা	africa
african	আফ্রিকান	ara afrika
africans	আফ্রিকার	africans
aféfé	বাতচক্র	air
agba	রং	principal
agbado	ভুট্টা	maize
agbara	ক্ষমতা	power
agbaye	বিশ্ব	world
agbeinadie	কৃষিজমি	semi-conductor
agbà	একজন প্রাপ্তবয়স্ক	adult
agbàbò	অভিভাবক	adopted child
agbára	ক্ষমতা	power
agbéiná	অগ্নিনির্বাপক	conductor
agio	কান্না	agio
aintimulo	aintimulo	un-exploited
aisi	অভাব	lack
ajagun	একটি কুকুর	ajagun
aje	অর্থনীতি	trade
ajemoroyin	জিজ্ঞাসাবাদ	reporting
ajibola	আলোচ্যসূচি	ajibola
ajo	ভ্রমণ	firms
ajoro	ভ্রমণ	discussion
ajọra	অবিকল প্রতিরুপ	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	আর্টিলারি	akinpelu
akokolo	কাল	period
akole	আমরা পারি না	title
akoni	আমাদের নেই	teacher
akopa	প্রথমে এবং সর্বাগ্রে	participant
akopo	সংকলন	assembly
akátá	শৃগাল	african american
akíkanjú	বীর	courageous
akíngbógun	ব্যাটেলিয়ন	akingbogun
akẹ́kọ̀ọ́	ছাত্র	students
ala	নিচে	limit
alaabo	অক্ষম	protection
alaadanida	অনাবশ্যক	individual
alaafia	শান্তি	peace
alaafin	অবৈধ	alaafin
aladaani	ব্যক্তিগত	privately-owned
aladani	ব্যক্তিগত	self-owned
aladanida	ইচ্ছামত	private
alaidogba	ভারসাম্যহীন	unequal
alaigbara	অনিবার্য	neutron
alaini	অতি দরিদ্র	the poor
alakitiyan	কর্মী	activist
alakobere	ব্রতী	primary
alalaye	পার্থিব	explanatory
alawose	ভবিষ্যৎ কথন	mentor
albany	albany	albany
albert	আলবার্ট	albert
alexandra	আলেকজান্দ্রা	alexandra
alicia	অ্যালিসিয়া	alicia
allāh	আল্লাহ	allah
alominira	স্বাধীনতা	independent
alpha	আরম্ভ	alpha
alubàbá	পিতা	drummer
alukuraani	কোরান	quran
alumoni	আরোগ্যক্ষম	minerals
alumíníọ̀mù	অ্যালুমিনিয়াম	aluminium
