$ tỉ	billion பில்லியன்	$ billion
abc	abc	abc
abdul	அப்துல்	abdul
abkhazia	abkhazia	a name
about	பற்றி	about
abraham	ஆபிரகாம்	abraham
abrams	abrams	abrams
abscbn	abscbn	abscbn
account	கணக்கு	account
aceh	aceh	(proper noun) aceh
achilles	குதிகால்	achilles
acia	acia	acia
acid	அமிலம்	acid
ada	அடா	ada
adams	ஆடம்ஸ்	(proper noun) adams
addisonwesley	addisonwesley	(proper noun) addison-wesley
adn	adn	adn
adobe	அடோப்	adobe
adrian	அட்ரியன்	(proper noun) adrian
adsl	adsl	adsl
advanced	மேம்படுத்தபட்ட	advanced
aedes	aedes	aedes
aegypti	aegypti	aegypti
aero	ஏரோ	(proper noun) aero, as in the aero l-39 albatros jet
afc	afc	afc
aff	aff	aff
afghanistan	ஆப்கானிஸ்தான்	afghanistan
africa	ஆப்பிரிக்கா	(proper noun) africa
african	ஆப்பிரிக்க	african
ag	வயது	ag
agasa	agasa	(proper noun) agasa, as in hiroshi agasa
agassi	agassi	agassi
ai	who	who
ailen	ஐரிஷ்	ailen
aim	நோக்கம்	aim
air	காற்று	air
airbus	ஏர்பஸ்	airbus
aisne	aisne	aisne
ajax	அஜாக்ஸ்	ajax
ak	ak	ak
akatsuki	akatsuki	akastuki
akms	akms	akms
akô	வணக்கம்	ako
al	அல்	al
alabama	அலபாமா	alabama
alaska	அலாஸ்கா	alaska
albania	அல்பேனியா	albania
albatros	அல்பட்ரோஸ்	(proper noun) albatros, as in the aero l-39 albatros
albert	ஆல்பர்ட்	(proper noun) albert
alberto	ஆல்பர்டோ	(proper noun) alberto
albion	அல்பியன்	albion, an ancient name for great britain
albuquerque	அல்புகர்கி	albuquerque
albus	அல்பஸ்	albus
alexa	அலெக்சா	alexa
alexandra	அலெக்ஸாண்ட்ரா	alexandra
alexandria	அலெக்ஸாண்ட்ரியா	alexandria
alexandros	அலெக்ஸாண்ட்ரோஸ்	alexandros
alexey	அலெக்ஸி	alexey
alfred	ஆல்ஃபிரட்	(proper noun) alfred, as in alfred kinsey
algérie	algérie	algerie
ali	அலி	ali
alice	ஆலிஸ்	this is a name
allan	ஆலன்	(proper noun) allan, as in edgar allan poe
allen	ஆலன்	(proper noun) allen
allmusic	allmusic	allmusíc
alois	அலோயிஸ்	alois
alonso	அலோன்சோ	alonso
alpher	ஆல்பர்	(proper noun) alpher
alps	ஆல்ப்ஸ்	alps
altai	altai	altai
always	எப்போதும்	luon luon
amaravati	அமராவதி	amaravati
amazon	அமேசான்	amazon
amdo	amdo	(proper noun) amdo
ame	ame	ame
ami	அமி	ami
amiens	amiens	amiens
amin	அமீன்	(proper noun) amin, as in nagib amin
amm	amm	amm
amoniac	அம்மோனியா	ammonium (n.)
amphitrite	ஆம்பிட்ரைட்	(proper noun) amphitrite, a greek sea goddess
an	ஒரு	"(should be ""an toàn"") safe"
anand	ஆனந்த்	anand
anata	anata	anata
anatolia	அனடோலியா	anatolia
andalusia	andalusia	andalusia
andaman	andaman	andaman
anderson	ஆண்டர்சன்	anderson
andes	andes	andes
andorra	andorra	andorra
andrew	ஆண்ட்ரூ	andrew
andré	andré	andre, as in andre morval
andy	andy	(proper noun) andy, as in andy warhol
anfield	anfield	anfield
ang	ang	ang
angkor	angkor	(proper noun) angkor, as in angkor wat, the temple in cambodia
anglosaxon	ஆங்கிலோசாக்சன்	anglo-saxon
anh	சகோதரன்	english
anhmỹ	பிரிட்டிஷ்	"(term should be ""anh mỹ"") english or american"
anhpháp	ஆங்கிலம் பிரஞ்சு	england-france
ankara	அங்காரா	ankara
ankyl	ankyl	ankly
anna	அண்ணா	anna
annam	ஒரு நாம்	a name the way french called middle vietnam as a colony
annan	annan	annan
anne	anne	anne, a name
anorthosit	anorthosit	anorthosit, a type of igneous rock (n.)
anthony	அந்தோணி	anthony
antigua	ஆன்டிகுவா	(proper noun) antigua
anton	அன்டன்	anton
antonov	அன்டோனோவ்	antonov
any	ஏதேனும்	any
anđêhít	ஆல்டிஹைட்	aldehydes
ao	குளம்	pond
aotearoa	aotearoa	aotearoa
apollo	அப்பல்லோ	apollo
apple	ஆப்பிள்	apple
aquinas	அக்வினாஸ்	a name
arab	அரபு	(proper noun) arab
archetypal	தொல்பொருள்	archetypal
archive	காப்பகம்	archive
arctan	arctan	a function
ares	ares	ares
argentina	அர்ஜெண்டினா	(proper noun) the south american nation of argentina
argo	argo	argo
arias	அரியாஸ்	arias
aringarosa	aringarosa	aringarosa, as in manuel aringarosa
aristotle	அரிஸ்டாட்டில்	aristotle
arizona	அரிசோனா	arizona, as in the state
ark	பேழை	ark
arkansas	ஆர்கன்சாஸ்	arkansas
arlington	ஆர்லிங்டன்	(proper noun) arlington
armenia	ஆர்மீனியன்	(proper noun) armenia
armstrong	ஆம்ஸ்ட்ராங்	(proper noun) armstrong, as in jazz artist louis armstrong
arnold	அர்னால்ட்	arnold
arsenal	அர்செனல்	arsenal
artemis	ஆர்ட்டெமிஸ்	(proper noun) artemis, the greek goddess of the hunt
aruba	அருபா	aruba
arunachal	அருணாச்சல்	"(term should be ""arunachal pradesh"") a state in india (proper noun)"
asc	asc	asc
ash	சாம்பல்	a name
ashikaga	ashikaga	ashikaga
ashley	ஆஷ்லே	(proper noun) ashley
asia	ஆசியா	asia
asm	asm	asm
asoka	அசோகா	asoka
association	சங்கம்	association
assyria	அசீரியா	assyria
aston	ஆஸ்டன்	(proper noun) aston, as in aston villa
atkinson	அட்கின்சன்	atkinson
atlanta	அட்லாண்டா	atlanta
atlantic	அட்லாண்டிக்	atlantic
aua	aua	aua
aubrac	aubrac	aubrac
audition	தணிக்கை	audition
auflage	auflage	auflage
auguste	auguste	auguste
australia	ஆஸ்திரேலியா	(proper noun) australia
austria	ஆஸ்ட்ரியா	(proper noun) the country of austria
austrian	ஆஸ்திரேலிய	austrian
avar	அவார்	a name
aviation	விமான போக்குவரத்து	aviation
awad	awad	awad
award	விருது	award
axit	அமிலம்	acid
ayeyarwady	ayeyarwady	ayeyarwady
ayumi	அயுமி	(proper noun) ayumi
ayutthaya	ayutthaya	(proper noun) ayutthaya
azerbaijan	அஜர்பைஜான்	(proper noun) azerbaijan
aztec	aztec	aztec, as in the aztec people (adj.)
ba	அப்பா	three
babylon	பாபிலோன்	babylon
bacon	பன்றி இறைச்சி	bacon
baden	கெட்டது	baden
baghdad	பாக்தாத்	(proper noun) baghdad
bago	பாகோ	bago
bahamas	பஹாமாஸ்	bahamas
bahrain	பஹ்ரைன்	bahrain
baháí	baháí	bahai
balearic	பலேரிக்	balearic
bali	பாலி	bali
balkan	பால்கன்	(proper adjective) balkan
balkans	பால்கன்	balkans
ballard	பாலார்ட்	ballard
bamar	bamar	bamar
ban	தடை	the
bang	இடி	state
banh	பந்து	ball
banner	பதாகை	banner
bantam	பாண்டம்	bantam
bantu	து தடை	bantu
bao	கோணி	bao giờ= ever
barack	பராக்	barack
barak	பராக்	barak
barbados	பார்படோஸ்	(proper noun) barbados
barbara	பார்பரா	barbara
barbary	காட்டுமிராண்டி	barbary
barca	பார்கா	barca
barnes	களஞ்சியங்கள்	barnes
barone	பரோன்	barone
baroque	பரோக்	baroque
barquin	பார்க்வின்	barquin, as in ramon barquin, the cuban military colonel
barrichello	பாரிச்செல்லோ	barrichello
bartholdi	பார்தோல்டி	bartholdi
baryon	baryon	baryon
barça	பார்சியா	(proper noun) barca
base	அடித்தளம்	base
basel	பேசல்	basel, a city in switzerland
basil	துளசி	basil
baskervilles	baskervilles	baskervilles
bass	பாஸ்	bass
bator	bator	bator
battambang	பட்டம்பாங்	battambang
bauer	பாயர்	bauer
bay	ஈ	"(should be ""tuyến bay"") an airline"
bayern	பேயர்ன்	bayern
bazan	பசால்ட்	basalt (n.)
bazơ	அடிப்படை	base
bb	பிபி	bb
bbc	பிபிசி	bbc
bc	பி.சி.	bc
bchtư	bchtư	central executive
beat	அடி	beat
beatles	பீட்டில்ஸ்	the beatles
beauty	அழகு	beauty
beckenbauer	beckenbauer	beckenbauer, as in franz beckenbauer
becker	பெக்கர்	(proper noun) becker
beckham	பெக்காம்	beckam
bedloe	பெட்லோ	bedloe
beethoven	பீத்தோவன்	beethoven
beethovens	பீத்தோவன்ஸ்	beethoven's
beginbmatrix	startbmatrix	this is a code
behind	பின்னால்	behind
beijing	பெய்ஜிங்	beijing
bel	பெல்	bel
bell	மணி	bell
bella	பெல்லா	bella
bellatrix	பெல்லாட்ரிக்ஸ்	bellatrix
benedict	பெனடிக்ட்	benedict
benetton	பெனட்டன்	benetton
benfica	பென்ஃபிகா	benfica
benito	பெனிட்டோ	benito
benjamin	பெஞ்சமின்	(proper noun) benjamin
bennington	பென்னிங்டன்	bennigton
berber	berber	berber
bergen	பெர்கன்	(proper noun) bergen
berger	பெர்கர்	berger
bering	bering	(proper noun) bering, as in the bering strait
berkeley	பெர்க்லி	(proper noun) the city of berkeley, california
berman	பெர்மன்	a name
bermuda	பெர்முடா	(proper noun) bermuda
bernard	பெர்னார்ட்	bernard
bertrand	பெர்ட்ராண்ட்	bertrand
better	சிறந்தது	better
betty	பெட்டி	betty
bhutan	பூட்டான்	bhutan
bia	பீர்	beer (n.)
biang	biang	biang
bic	bic	bic
bikini	பிகினி	bikini
bill	ர சி து	(proper noun) bill, as in former president bill clinton
billy	பில்லி	billy
bismarck	பிஸ்மார்க்	bismarck, as in otto von bismarck
bitmap	பிட்மேப்	bitmap
biên	பதிவு	bien
biếc	டீல்	a bluish-green color (adj.)
biếm	கவனக்குறைவு	"(term should be ""biếm họa"") cartoon (n.)"
biến	அவுட்	other
biếng	சோம்பேறி	lose interest in
biếu	அஞ்சலி செலுத்துங்கள்	present
biều	bieu	bieu
biển	கடல்	ocean
biểuthứcđiềukiện	நிலைமைகளை அறிந்து கொள்ளுங்கள்	conditional expression
biện	மன்னிப்பு கேளுங்கள்	"(term should be ""biện pháp"") a method (n.)"
biệt	தனித்துவமானது	"(term should be ""khác biệt"") different or distinct"
bkavpro	bkavpro	bkavpro
blackwell	பிளாக்வெல்	this is a name
blair	பிளேயர்	blair
blaise	பிளேஸ்	blaise
blanc	வெற்று	blanc
blues	ப்ளூஸ்	blues
bo	போ	a curl, as in a biceps curl exercise
bob	பாப்	bob
bobby	பாபி	bobby, as in bobby day
boeing	போயிங்	boeing
bohemia	போஹேமியா	bohemia
bolivia	பொலிவியா	(proper noun) bolivia
boltzmann	boltzmann	boltzmann
bom	குண்டு	bomb
bonaparte	போனபார்ட்	bonaparte
bong	போங்	"(term should be ""bong bóng"") a balloon (n.)"
bonnal	பொன்னல்	bonnal
bonobo	போனோபோ	bonono
bool	bool	bool
boolean	பூலியன்	(proper adjective) boolean, as in boolean algebra
boom	ஏற்றம்	boom
boong	டெக்	a deck (n.)
boongke	பதுங்கு குழிகள்	bunker
bop	பாப்	bop
boris	போரிஸ்	boris
borland	போர்லாந்து	(proper noun) borland
borussia	போருசியா	borussia
bose	போஸ்	bose, as in subhas chandra bose
boseeinstein	போசீன்ஸ்டீன்	bose einstein
bosna	போஸ்னா	(proper noun) bosnia
bosnia	போஸ்னியா	(proper noun) bosnia
botswana	போட்ஸ்வானா	botswana
bottom	கீழே	bottom
boulder	கற்பாறை	boulder
bourbon	போர்பன்	bourbon
boxing	குத்துச்சண்டை	boxing
brain	மூளை	brain
brandenburg	பிராண்டன்பர்க்	(proper noun) brandenburg
brandt	பிராண்ட்	brandt
braun	மூளை	braun
brazil	பிரேசில்	brazil
bremen	ப்ரெமன்	bremen, as in the bremen bank
