$	dollarni tashkil etadi	a sign of doller
+	+	+
=	=	equal to
==	==	==
===	===	===
>	&gt;	"mathematical sign for denoting ""greater than"""
|	|	|
°	°	digree
×	×	into
λ	λ	lambda-a greek alfabet
इतिहास	tarix	history [hindi word]
और	va	and
का	ning	of
की	ning	's [hindi word]
के	k.	's, of [hindi word]
गया	gone	went on [hindi word]
में	ichida	in [hindi]
है	bu	is there [hindi word]
ઃ	kuz	symbol
અ	a	a
અંક	nashr	number
અંકલેશ્વર	ankleshwar	ankleshwar
અંકુશ	boshqaruv	control
અંકુશિત	boshqariladi	controlled
અંકુશો	boshqarish vositalari	control
અંકો	raqamlar	edition
અંગ	organ	part
અંગત	shaxsiy	private / personal
અંગીકાર	qabul qilish	to change religion
અંગે	haqida	about
અંગેના	haqida	regarding
અંગેની	haqida	about
અંગેનું	ning	about
અંગેનો	haqida	about
અંગો	organlar	parts
અંગ્રજોના	ingliz tilidan	of british
અંગ્રેજ	inglizcha	foreigner
અંગ્રેજ઼ી	inglizcha	english
અંગ્રેજી	inglizcha	english
અંગ્રેજીના	ingliz tilidan	of english
અંગ્રેજીનાં	ingliz tilidan	of english
અંગ્રેજીની	ingliz tilidan	of english
અંગ્રેજીનું	ingliz tilidan	english
અંગ્રેજીને	inglizcha	to english
અંગ્રેજીનો	ingliz tilidan	of the english
અંગ્રેજીમાં	ingliz tilida	in the english
અંગ્રેજીમાંથી	ingliz tilidan	from english
અંગ્રેજો	ingliz	britishers
અંગ્રેજોએ	ingliz	foreigners
અંગ્રેજોના	ingliz tilidan	britisher's
અંગ્રેજોની	ingliz tilidan	britisher
અંગ્રેજોને	inglizlarga	to the british
અંજાર	anjar	anjar [name of a city]
અંત	tamom	at the end
અંતમાં	kech	in the end
અંતર	masofa	distance
અંતરના	masofadan	distance
અંતરની	masofadan	distance
અંતરાલ	oraliq	interval
અંતરિયાળ	ichki	internal
અંતરે	masofada	distance
અંતર્ગત	ichki	included
અંતિમ	final	final
અંતે	oxirida	at last
અંદર	ichkarida	inside
અંદરથી	ichkaridan	inner
અંદરના	ichkarida	inner
અંદરની	ichkarida	inside
અંદાજ	hisoblash	approx
અંદાજિત	hisoblangan	approximate
અંદાજે	taxminan	approximate
અંદાજો	hisob-kitoblar	estimates
અંદાઝ	hisob-kitoblar	andaaz
અંદામાન	andaman	andaman
અંધ	ko&#39;r	blind
અંબા	amba	amba
અંબાજી	ambaji	ambaji
અંબાણી	ambani	ambani
અંબાણીએ	ambani	by ambani
અંબાણીની	ambani	ambani's
અંબાલિકા	ambalika	ambalika
અંબિકા	ambika	ambika
અંશ	xulosa	part
અંશતઃ	qisman	partly
અંશે	bir darajaga qadar	by percentage
અંશો	xulosa	parts / particles
અંહી	bu yerda	here
અંહીના	bu yerda	this
અકબંધ	buzilmagan	intact
અકબર	akbar	akbar
અકબરના	akbarning	of akbar
અકબરે	akbar	akbar
અકાદમી	akademiya	academy
અક્ષર	xarakter	letter
અક્ષરજ્ઞાન	savodxonlik	literacy
અક્ષરધામ	akshardham	akshardham
અક્ષરબ્રહ્મ	aksharbraxm	aksharbrahm
અક્ષરો	maktublar	letters
અક્ષાંશ	kenglik	latitude
અખંડ	buzilmagan	intact
અખબાર	gazeta	newspaper
અખબારો	gazetalar	news paper
અખાત	ko&#39;rfaz	gulf
અખિલ	axil	all
અગત્યતા	muhimi	importance
અગત્યના	muhim	important
અગત્યની	muhim	important, of importance
અગત્યનું	muhim	important
અગત્યનો	muhim	important
અગાઉ	ilgari	previously
અગાઉથી	oldindan	from ahead
અગાઉના	oldingi	earlier
અગાઉની	oldingi	past
અગિયાર	o&#39;n bir	eleven
અગ્નિ	yong&#39;in	fire
અગ્ની	yong&#39;in	fire
અગ્ર	foydalanuvchi interfeysi	or / principal
અગ્રગણ્ય	eng asosiysi	famous
અગ્રણી	etakchi	front-runner / trialblazer
અગ્રેસર	etakchi	leading
અઘરી	qattiq	hard
અચાનક	to&#39;satdan	suddenly
અચોક્કસ	noto&#39;g&#39;ri	indefinite
અજ઼ીજ઼	azeezo	aziz [arabic written in gujarati script]
અજાણ	xabarsiz	unknown
અજાણ્યા	g&#39;ariblar	stranger
અજાયબી	ajoyib	wonder
અજાયબીઓ	mo&#39;&#39;jizalar	wonders
અજાયબીઓની	mo&#39;&#39;jizalar haqida	of wonderful things
અજેય	yengilmas	unbrakable
અજોડ	noyob	uncomparable
અજ્ઞાત	noma&#39;lum	unknown
અજ્ઞાન	savodsizlik	unknown,
અટકાવવા	oldini olish uchun	to prevent
