withstand	0.3396306	96
most well	0.34653053	99
considerable	0.34822467	98
unusual	0.35078162	99
deceased	0.3527806	92
existed	0.35385448	98
protects	0.35464305	96
most little	0.3595988	94
attack	0.35975915	99
created	0.36018717	99
contain	0.36138237	97
strange	0.36161244	98
captures	0.36333185	96
removes	0.36333725	94
shown	0.36371797	94
encompassing	0.36387146	99
taking over	0.36412203	96
in the	0.36444417	95
produces	0.36509612	95
found, located	0.36528832	98
possibly	0.36617553	94
things	0.36690065	94
inovations	0.3669338	96
turned into / became	0.36727548	98
interesting	0.36846244	98
entirely	0.369124	98
taking place	0.36999583	99
organism	0.37026754	97
often,honour,frequent,part	0.37079743	98
hard	0.37095106	98
obtaining	0.37122256	96
stabilize	0.3714466	96
the sole	0.37154308	96
simultaneously	0.3716212	100
this days	0.37173522	96
the edges	0.3723423	98
the rich	0.37303802	96
joined	0.37386733	95
attemtp	0.37414098	96
also caled	0.3748055	97
indicate	0.37491548	98
escaped	0.3749448	98
turn into	0.37519577	99
detection	0.37533346	95
it is believed	0.37566423	98
pictures	0.37592557	96
through	0.37602016	91
themselves	0.37616754	100
wet	0.37639934	95
killed	0.37640268	98
from there	0.3764895	96
provide	0.37653047	100
fascinated	0.3771186	96
the need	0.37728295	93
entire	0.37738693	98
most different	0.37739888	96
larger	0.3774997	97
observed	0.37764752	97
separation	0.37766725	95
underneath	0.37848014	100
is made	0.37878028	98
separate	0.3792416	97
followed	0.37981647	94
the biggest	0.3811892	95
least;at least	0.38147193	100
rely	0.3815049	96
melting	0.38261762	96
murders	0.38284445	98
large	0.38330454	96
roughly	0.38340065	99
penetrates	0.38352308	97
defeated	0.38413432	92
seraph/seraphim	0.38426572	99
krystev	0.3844942	88
approximately	0.3848238	95
tons	0.38491237	98
surrounded	0.38558	96
alongside	0.38581017	96
trully	0.38590682	98
necessarily	0.38614956	97
rich	0.3861871	97
closeness	0.3862912	98
composed	0.38639113	97
huge	0.3867047	95
prophet	0.38677034	93
longer	0.38693282	95
dependence	0.38716823	96
lead to	0.38767987	99
criminality	0.38787723	97
slowly	0.3881466	97
carefully	0.38824725	97
advertisements	0.38829127	96
discoveries	0.38830024	100
species	0.38857383	98
irrespectible	0.38875735	95
based	0.38890147	98
artists	0.38902748	96
obtained	0.38914657	96
pencho	0.3896954	97
is released	0.38971776	98
renium	0.38991767	92
designed	0.3900437	98
earlier	0.39006078	97
podava	0.39034644	93
the drink	0.39037126	97
known	0.39041364	98
the lack	0.39053756	98
partially	0.39063182	97
most ancient	0.3909838	97
existing	0.39103264	98
category: history (two words)	0.3912381	94
concluded	0.39162326	97
including	0.39213696	94
penetration	0.3924724	94
oppositon	0.39275202	97
mentioning	0.39277583	96
lived	0.39310893	97
stretch	0.39334434	20
perceived	0.3934402	95
dulo	0.39356324	97
the gross	0.3936213	96
behind	0.3938342	95
dzeki	0.39401326	95
collected	0.39413336	98
keeping	0.39420748	100
among	0.39424753	89
sustains	0.39473623	98
anomaly	0.39501244	90
carries	0.39518172	98
gastaut	0.39526734	97
rarely	0.39542517	97
depicted	0.39558545	97
images	0.3957457	98
most often	0.39600605	97
lack	0.39604813	96
publicised	0.39624566	96
zoology	0.3965236	97
took place	0.39663702	95
small	0.3966576	90
abandon	0.39690077	98
deliberately	0.39692017	98
settled	0.3969499	96
biggest	0.39711985	98
worked	0.3978363	97
soon	0.39790088	92
eternal	0.39798898	95
like that	0.39805576	87
their	0.39810574	97
y. (year)	0.39812747	98
invention	0.39831394	96
a great	0.39839312	96
sees	0.39851034	99
holds	0.39862052	97
picture	0.39872876	100
detained	0.39873788	97
hilas	0.39878008	93
stored	0.39881903	98
separated	0.39890963	97
compositions	0.3990848	98
released	0.3992226	97
the son	0.3992619	98
considerably	0.3994314	98
afford	0.39950377	100
the towns	0.399504	98
the disease	0.3995148	98
subsequently	0.39958182	95
adversaries	0.39958596	99
creating	0.39977428	95
influenced	0.3998637	95
easier	0.40013117	96
her, its	0.400156	93
shoot	0.40017736	95
the size	0.40039465	97
weakens	0.40047118	96
spread	0.40077865	96
high	0.40092888	92
the april	0.40098912	94
proclaimed	0.40107208	98
kontraprenos	0.40133682	99
introduces	0.40159777	97
decided	0.40169916	97
as well as	0.40187538	99
defeat	0.40188912	98
divided	0.40205213	95
opposition	0.402135	98
materials	0.40227935	93
disappearance	0.4024037	99
emphasis	0.40260604	96
completely	0.40260962	99
founds	0.4026102	96
acquired	0.4027887	99
reached	0.40300298	94
the death	0.4030915	97
maintaining	0.40318644	94
the developing	0.40333682	99
powerful	0.40337962	94
the songs	0.40353692	92
taken by	0.40353936	99
allows	0.40356985	97
supports	0.40381023	97
libatio	0.40398335	98
budism	0.4041459	97
rfg	0.40417585	95
the nuclear	0.40419355	100
captured	0.4042513	96
terror	0.40425822	90
produced	0.40430665	96
operated	0.404478	98
expected	0.40467763	98
bobi	0.40475976	98
functional	0.4047837	97
artificial	0.40511018	96
seems	0.4051406	95
constantine (name)	0.40519613	96
c (citizens)	0.4052681	95
victim	0.40548563	98
actively	0.4056989	94
hidden	0.4058142	96
decomposes	0.40596288	98
/	0.40602002	97
eventually	0.40610808	93
accompanied	0.40613842	94
at small	0.40623105	95
journalist	0.40626156	99
conclude	0.40629447	98
common / occurring often	0.40634295	85
controversial, questionable	0.4063986	97
efforts	0.40643042	98
homosexual	0.4064784	98
protection	0.40650034	98
category: christian (two words)	0.4065217	95
since then	0.40679216	99
forced	0.40680578	99
the erection	0.40690202	100
concentrate	0.40692294	95
to be built	0.40699124	98
situations	0.4070282	98
enormous	0.40705582	99
presence (or participation)	0.4073568	97
escape	0.4075426	96
discovers	0.40758055	96
observer	0.40759784	94
dominates	0.40780568	98
terminates	0.4078356	98
difficult	0.40790606	95
expressly	0.40798995	95
the writer	0.40822762	95
controversial	0.4084276	100
sculptor	0.40845013	99
run to	0.40855163	96
nazvanieto	0.408617	86
the exact	0.40861732	99
thus	0.40870798	94
photos	0.40880293	98
fragments	0.40888175	93
most known	0.40891227	97
publicized	0.4089584	96
verosh	0.40904444	92
the earliest	0.40909618	96
descend	0.4091031	91
discovered	0.4091489	99
require	0.4095583	93
the archaeologists	0.40965155	100
successfully	0.4097312	99
seek	0.40977818	93
transferred	0.40999788	97
successively	0.4101511	97
the term	0.41025105	99
kill	0.4104017	90
ads	0.4104185	97
initially	0.4104547	97
teachings	0.41070536	99
dangerous	0.41094774	93
around sofia	0.4112406	97
the armed	0.41124773	97
the historical	0.41146535	96
the limits	0.41164976	98
had used	0.41171896	97
the tradition	0.41174036	98
ra	0.41175312	97
keeps	0.4117757	96
recently	0.41191977	94
touristis	0.4120103	95
complications	0.41206852	97
take interest	0.41214773	94
appeared	0.4122295	97
bozhkov	0.4123485	95
grows	0.4125305	98
occasion	0.41259012	94
both	0.41265917	95
wolfile (little wolf)	0.41297483	82
organizes	0.4130151	97
knowlege	0.41304362	96
strengthen	0.4131274	97
possessions	0.41329423	97
ananke	0.41336542	95
better known	0.41344815	95
forcing	0.413477	100
memorable	0.41360462	91
koleda	0.41379938	84
earliest	0.41385615	93
helps	0.4139235	98
the same	0.4139934	97
establish	0.41411632	94
the fights	0.41419172	94
sept	0.41421357	95
all	0.41425252	88
proves	0.4142867	100
salary	0.41433123	95
lowest	0.4143751	98
mostly	0.41438052	93
typical	0.4144792	94
ratcho	0.41461807	91
accelerates	0.41466004	99
relatively	0.41468453	98
creates	0.4147125	95
direct, directly	0.41482407	94
rheology	0.4148518	99
fourth	0.41486904	92
elsewhere	0.41518712	98
the trade	0.41531754	100
monetary	0.41537637	98
enforcement	0.4158582	94
specimens	0.41586953	100
introduced	0.4158726	100
death	0.41591817	91
drastically	0.41600177	97
establishes	0.41606626	97
backstab	0.41610923	95
went	0.41620108	97
the only	0.41620973	95
the first	0.4163478	99
opposed	0.4164814	93
god	0.41650003	93
gradually	0.41671464	97
in detail	0.41671574	96
between	0.4171831	93
contribute	0.41723865	96
motion	0.41727525	90
saviour	0.41733456	100
here is	0.41750062	95
the oil	0.4175126	98
richly	0.417673	100
inward	0.4177611	95
discontent	0.41783214	97
found	0.41793302	96
at least	0.4179838	95
bravery	0.41801754	96
long	0.41809165	94
instead	0.4181223	98
the cocain	0.41812703	97
cuban	0.41825294	99
the idea	0.41830292	95
